start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	2.612267	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.612267	11.45907	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
11.45907	12.921927	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
12.921927	17.443474	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
17.443474	20.410362	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
20.410362	21.908049	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
21.908049	23.370907	E:7/3	4	8	0	0	1	0	1	0	0	0	1	0	0	1
23.370907	24.856984	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
24.856984	26.343061	A:min/b3	9	0	1	0	0	0	1	0	0	0	0	1	0	0
26.343061	27.840748	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
27.840748	29.350045	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
29.350045	35.305963	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
35.305963	36.80365	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
36.80365	41.263102	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
41.263102	44.245646	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
44.245646	45.720113	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
45.720113	47.20619	E:7/3	4	8	0	0	1	0	1	0	0	0	1	0	0	1
47.20619	48.692267	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
48.692267	50.155124	A:min/b3	9	0	1	0	0	0	1	0	0	0	0	1	0	0
50.155124	51.652811	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
51.652811	53.138888	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
53.138888	56.111043	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
56.111043	65.131995	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
65.131995	68.150589	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
68.150589	71.192403	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
71.192403	74.199387	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
74.199387	75.697074	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
75.697074	80.236575	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
80.236575	83.20873	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
83.20873	86.221693	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
86.221693	87.736621	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
87.736621	89.257528	A:min/b3	9	0	1	0	0	0	1	0	0	0	0	1	0	0
89.257528	90.720385	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
90.720385	92.157453	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
92.157453	104.106689	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
104.106689	107.125283	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
107.125283	110.178707	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
110.178707	113.124087	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
113.124087	114.613718	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
114.613718	116.099795	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
116.099795	118.944961	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
118.944961	128.046462	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
128.046462	131.053446	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
131.053446	134.03721	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
134.03721	137.044195	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
137.044195	138.475524	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
138.475524	143.058163	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
143.058163	146.041927	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
146.041927	147.551224	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
147.551224	149.060521	E:7/3	4	8	0	0	1	0	1	0	0	0	1	0	0	1
149.060521	150.511768	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
150.511768	152.021065	A:min/b3	9	0	1	0	0	0	1	0	0	0	0	1	0	0
152.021065	153.530362	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
153.530362	155.062879	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
155.062879	159.532721	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
159.532721	161.065238	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
161.065238	165.581519	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
165.581519	167.114036	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
167.114036	168.646553	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
168.646553	169.737409	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
169.737409	171.687173	E:9	4	4	0	0	1	0	1	0	1	0	1	0	0	1
171.687173	175.804082	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
