start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.708462	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.708462	2.96788	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
2.96788	5.189003	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
5.189003	7.429273	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
7.429273	9.669544	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
9.669544	11.852371	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
11.852371	14.035199	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
14.035199	16.275469	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
16.275469	18.534888	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
18.534888	20.641125	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
20.641125	22.862248	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
22.862248	23.6473	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
23.6473	25.00678	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
25.00678	25.88757	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
25.88757	27.266198	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
27.266198	29.410731	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
29.410731	31.612706	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
31.612706	33.833829	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
33.833829	36.035804	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
36.035804	38.276075	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
38.276075	40.420607	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
40.420607	42.64173	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
42.64173	44.882001	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
44.882001	47.026533	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
47.026533	49.05618	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
49.05618	49.93697	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
49.93697	51.315598	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
51.315598	52.196388	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
52.196388	53.594164	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
53.594164	56.75352	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
56.75352	57.251357	D/2	2	4	0	0	1	0	1	0	1	0	0	1	0	0
57.251357	57.7109	D/3	2	6	0	0	1	0	0	0	1	0	0	1	0	0
57.7109	66.480506	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
66.480506	73.909779	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
73.909779	74.388469	D/2	2	4	0	0	1	0	1	0	1	0	0	1	0	0
74.388469	74.94375	D/3	2	6	0	0	1	0	0	0	1	0	0	1	0	0
74.94375	83.502732	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
83.502732	87.753502	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
87.753502	91.965977	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
91.965977	94.167952	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
94.167952	96.255042	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
96.255042	98.51446	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
98.51446	100.563254	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
100.563254	101.55893	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
101.55893	102.995001	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
102.995001	103.7992	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
103.7992	105.196976	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
105.196976	108.356332	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
108.356332	108.988203	D/2	2	4	0	0	1	0	1	0	1	0	0	1	0	0
108.988203	109.562631	D/3	2	6	0	0	1	0	0	0	1	0	0	1	0	0
109.562631	118.255647	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
118.255647	125.780658	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
125.780658	126.335939	D/2	2	4	0	0	1	0	1	0	1	0	0	1	0	0
126.335939	126.872072	D/3	2	6	0	0	1	0	0	0	1	0	0	1	0	0
126.872072	131.161137	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
131.161137	135.54594	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
135.54594	139.796709	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
139.796709	144.20066	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
144.20066	146.211159	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
146.211159	148.45143	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
148.45143	150.61511	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
150.61511	152.836233	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
152.836233	153.65958	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
153.65958	155.038208	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
155.038208	155.861555	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
155.861555	157.240183	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
157.240183	159.480454	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
159.480454	161.624986	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
161.624986	163.941847	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
163.941847	165.990642	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
165.990642	168.173469	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
168.173469	170.528625	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
170.528625	174.530476	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
174.530476	177.580408	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
