start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.459543	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.459543	7.639897	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
7.639897	14.977403	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
14.977403	18.646156	Eb:7	3	3	0	1	0	1	0	0	0	1	0	0	1	0
18.646156	22.338129	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
22.338129	24.184115	F:9	5	5	1	0	0	1	0	1	0	1	0	1	0	0
24.184115	26.041712	Eb:9	3	3	0	1	0	1	0	1	0	1	0	0	1	0
26.041712	27.910918	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
27.910918	29.780124	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
29.780124	37.10602	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
37.10602	40.797993	Eb:7	3	3	0	1	0	1	0	0	0	1	0	0	1	0
40.797993	44.466746	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
44.466746	46.324342	F:9	5	5	1	0	0	1	0	1	0	1	0	1	0	0
46.324342	48.170328	Eb:9	3	3	0	1	0	1	0	1	0	1	0	0	1	0
48.170328	49.981485	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
49.981485	51.839081	Bb:7	10	10	0	0	1	0	0	1	0	0	1	0	1	0
51.839081	55.589104	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
55.589104	59.292687	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
59.292687	63.042709	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
63.042709	66.734682	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
66.734682	74.118628	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
74.118628	77.85704	Eb:7	3	3	0	1	0	1	0	0	0	1	0	0	1	0
77.85704	81.525793	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
81.525793	83.395	F:9	5	5	1	0	0	1	0	1	0	1	0	1	0	0
83.395	85.252596	Eb:9	3	3	0	1	0	1	0	1	0	1	0	0	1	0
85.252596	87.110192	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
87.110192	88.944569	Bb:7	10	10	0	0	1	0	0	1	0	0	1	0	1	0
88.944569	92.659761	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
92.659761	96.363344	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
96.363344	100.113367	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
100.113367	103.79373	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
103.79373	111.224115	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
111.224115	114.927698	Eb:7	3	3	0	1	0	1	0	0	0	1	0	0	1	0
114.927698	118.642891	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
118.642891	120.512097	F:9	5	5	1	0	0	1	0	1	0	1	0	1	0	0
120.512097	122.369693	Eb:9	3	3	0	1	0	1	0	1	0	1	0	0	1	0
122.369693	124.536063	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
124.536063	126.050056	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
126.050056	137.230929	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
137.230929	139.011657	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
139.011657	139.773049	Eb:min	3	3	0	0	0	1	0	0	1	0	0	0	1	0
139.773049	146.494694	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
