start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.444363	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.444363	0.866546	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
0.866546	7.646772	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
7.646772	11.013666	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
11.013666	11.872804	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
11.872804	12.917702	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
12.917702	13.393711	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
13.393711	13.8465	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
13.8465	14.450219	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
14.450219	17.886772	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
17.886772	18.745911	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
18.745911	21.381376	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
21.381376	23.088042	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
23.088042	24.806319	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
24.806319	26.512986	C#:min/5	1	8	0	1	0	0	1	0	0	0	1	0	0	0
26.512986	28.208042	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
28.208042	29.903099	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
29.903099	30.773847	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
30.773847	31.644596	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
31.644596	33.386092	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
33.386092	34.25684	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
34.25684	35.150809	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
35.150809	38.529312	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
38.529312	39.37684	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
39.37684	40.479788	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
40.479788	40.932149	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
40.932149	41.434147	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
41.434147	42.012305	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
42.012305	45.448859	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
45.448859	46.319607	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
46.319607	48.897022	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
48.897022	50.615298	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
50.615298	52.287135	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
52.287135	54.017022	C#:min/5	1	8	0	1	0	0	1	0	0	0	1	0	0	0
54.017022	55.735298	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
55.735298	57.465185	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
57.465185	58.359153	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
58.359153	59.229902	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
59.229902	60.971398	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
60.971398	62.631625	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
62.631625	64.407952	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
64.407952	66.137838	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
66.137838	69.609221	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
69.609221	71.327498	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
71.327498	73.080605	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
73.080605	74.822101	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
74.822101	75.727679	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
75.727679	76.633258	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
76.633258	78.386364	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
78.386364	79.257113	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
79.257113	80.139471	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
80.139471	83.634074	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
83.634074	84.458382	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
84.458382	85.340741	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
85.340741	85.906025	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
85.906025	86.498126	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
86.498126	87.105457	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
87.105457	90.55362	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
90.55362	91.424369	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
91.424369	94.059834	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
94.059834	95.80133	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
95.80133	97.531217	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
97.531217	99.226274	C#:min/5	1	8	0	1	0	0	1	0	0	0	1	0	0	0
99.226274	100.94455	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
100.94455	102.697657	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
102.697657	103.614845	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
103.614845	104.473983	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
104.473983	106.21548	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
106.21548	107.097838	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
107.097838	107.980196	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
107.980196	109.721693	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
109.721693	110.569221	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
110.569221	111.4748	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
111.4748	112.391988	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
112.391988	113.262736	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
113.262736	114.121874	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
114.121874	114.992623	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
