start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.465952	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.465952	2.103232	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
2.103232	3.705409	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
3.705409	5.272756	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
5.272756	6.886543	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
6.886543	8.50033	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
8.50033	10.090897	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
10.090897	13.3533	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
13.3533	14.990307	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
14.990307	16.615704	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
16.615704	18.241101	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
18.241101	19.866497	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
19.866497	21.480284	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
21.480284	23.117291	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
23.117291	26.391305	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
26.391305	28.210155	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
28.210155	29.711758	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
29.711758	31.360375	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
31.360375	32.939332	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
32.939332	34.599559	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
34.599559	36.306225	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
36.306225	37.943232	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
37.943232	39.557019	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
39.557019	41.205636	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
41.205636	42.831033	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
42.831033	44.444819	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
44.444819	49.40228	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
49.40228	51.027677	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
51.027677	52.711123	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
52.711123	54.32491	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
54.32491	55.985137	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
55.985137	59.224321	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
59.224321	60.861327	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
60.861327	62.486724	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
62.486724	65.737518	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
65.737518	67.351305	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
67.351305	69.152241	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
69.152241	70.753028	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
70.753028	72.331985	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
72.331985	73.968992	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
73.968992	75.582779	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
75.582779	77.184956	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
77.184956	78.798742	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
78.798742	83.879075	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
83.879075	85.416429	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
85.416429	87.053436	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
87.053436	88.667223	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
88.667223	90.2694	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
90.2694	93.473754	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
93.473754	95.12237	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
95.12237	96.747767	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
96.747767	99.952121	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
99.952121	101.542688	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
101.542688	103.168085	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
103.168085	108.905137	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
108.905137	109.634842	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
109.634842	111.283459	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
111.283459	112.874026	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
112.874026	114.476203	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
114.476203	116.07838	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
116.07838	117.703776	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
117.703776	119.294343	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
119.294343	124.311508	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
124.311508	125.830761	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
125.830761	127.432937	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
127.432937	129.023504	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
129.023504	130.614071	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
130.614071	132.216248	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
132.216248	133.853255	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
133.853255	135.408992	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
135.408992	137.045999	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
137.045999	138.659785	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
138.659785	142.759184	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
