start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.465069	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.465069	1.397949	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
1.397949	2.338358	C#:7	1	1	0	1	0	0	0	1	0	0	1	0	0	1
2.338358	4.114683	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
4.114683	4.973822	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
4.973822	5.84457	C#:7	1	1	0	1	0	0	0	1	0	0	1	0	0	1
5.84457	7.644118	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
7.644118	8.549696	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
8.549696	9.408834	C#:7	1	1	0	1	0	0	0	1	0	0	1	0	0	1
9.408834	11.219991	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
11.219991	12.113959	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
12.113959	12.996317	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
12.996317	14.772644	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
14.772644	16.560579	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
16.560579	18.302076	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
18.302076	20.066792	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
20.066792	21.866339	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
21.866339	23.689106	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
23.689106	25.453822	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
25.453822	28.147337	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
28.147337	28.611736	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
28.611736	29.052915	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
29.052915	32.582349	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
32.582349	34.405114	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
34.405114	36.146611	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
36.146611	37.934548	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
37.934548	39.757314	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
