start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.47869	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.47869	4.32736	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
4.32736	6.242121	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
6.242121	8.195178	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
8.195178	15.102697	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
15.102697	16.913854	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
16.913854	18.67857	F#:minmaj7	6	6	0	1	0	0	0	1	1	0	0	1	0	0
18.67857	20.478117	F#:min7	6	6	0	1	0	0	1	0	1	0	0	1	0	0
20.478117	22.312493	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
22.312493	24.11204	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
24.11204	25.923196	F#:minmaj7	6	6	0	1	0	0	0	1	1	0	0	1	0	0
25.923196	27.745962	F#:min7	6	6	0	1	0	0	1	0	1	0	0	1	0	0
27.745962	29.580339	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
29.580339	33.167822	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
33.167822	34.990588	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
34.990588	36.732085	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
36.732085	37.927913	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
37.927913	38.578071	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
38.578071	40.296348	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
40.296348	41.248366	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
41.248366	42.072674	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
42.072674	43.802561	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
43.802561	46.066507	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
46.066507	48.249182	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
48.249182	50.431858	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
50.431858	52.626144	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
52.626144	54.80882	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
54.80882	56.991495	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
56.991495	63.887822	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
63.887822	65.687368	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
65.687368	67.486915	F#:minmaj7	6	6	0	1	0	0	0	1	1	0	0	1	0	0
67.486915	69.286461	F#:min7	6	6	0	1	0	0	1	0	1	0	0	1	0	0
69.286461	71.097618	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
71.097618	72.931994	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
72.931994	74.731541	F#:minmaj7	6	6	0	1	0	0	0	1	1	0	0	1	0	0
74.731541	76.542697	F#:min7	6	6	0	1	0	0	1	0	1	0	0	1	0	0
76.542697	78.330634	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
78.330634	81.929727	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
81.929727	83.752493	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
83.752493	85.5056	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
85.5056	86.480838	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
86.480838	87.305146	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
87.305146	89.035033	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
89.035033	90.056711	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
90.056711	90.822969	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
90.822969	92.529636	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
92.529636	94.781971	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
94.781971	97.034307	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
97.034307	99.263423	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
99.263423	101.446098	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
101.446098	106.206189	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
106.206189	111.477119	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
111.477119	112.533627	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
112.533627	113.044466	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
113.044466	113.989991	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
113.989991	114.621863	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
114.621863	115.598391	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
115.598391	116.295259	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
116.295259	120.346998	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
120.346998	125.152653	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
