start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.431661	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.431661	1.159256	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.159256	2.088054	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
2.088054	3.028463	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
3.028463	4.874449	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
4.874449	5.756807	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
5.756807	6.708825	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
6.708825	8.578032	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
8.578032	9.50683	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
9.50683	10.412408	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
10.412408	12.339664	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
12.339664	13.268463	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
13.268463	14.208871	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
14.208871	16.124518	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
16.124518	17.041705	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
17.041705	17.982113	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
17.982113	19.874541	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
19.874541	20.814948	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
20.814948	21.778576	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
21.778576	23.566513	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
23.566513	24.472091	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
24.472091	25.4125	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
25.4125	27.281706	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
27.281706	28.233723	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
28.233723	29.185741	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
29.185741	31.020119	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
31.020119	31.948916	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
31.948916	32.900934	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
32.900934	34.82819	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
34.82819	35.780209	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
35.780209	36.709007	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
36.709007	38.520163	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
38.520163	39.460572	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
39.460572	40.412591	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
40.412591	42.293406	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
42.293406	43.268645	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
43.268645	44.243882	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
44.243882	46.124699	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
46.124699	47.041888	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
47.041888	48.028735	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
48.028735	49.955991	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
