start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.536133	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.536133	3.39573	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
3.39573	6.193734	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
6.193734	7.598542	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
7.598542	9.038179	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
9.038179	10.454596	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
10.454596	11.871013	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
11.871013	13.32226	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
13.32226	14.692238	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
14.692238	17.548292	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
17.548292	18.964709	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
18.964709	20.381127	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
20.381127	21.820764	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
21.820764	23.202351	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
23.202351	24.618768	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
24.618768	26.046796	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
26.046796	27.428383	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
27.428383	28.85641	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
28.85641	30.237997	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
30.237997	31.642805	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
31.642805	33.036002	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
33.036002	34.487249	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
34.487249	35.880446	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
35.880446	37.262034	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
37.262034	38.655231	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
38.655231	40.083258	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
40.083258	42.858043	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
42.858043	45.621217	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
45.621217	48.407612	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
48.407612	51.217226	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
51.217226	54.026841	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
54.026841	56.848065	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
56.848065	59.61124	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
59.61124	61.062487	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
61.062487	62.444074	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
62.444074	63.860492	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
63.860492	65.265299	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
65.265299	66.635276	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
66.635276	68.051694	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
68.051694	69.433281	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
69.433281	70.884528	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
70.884528	72.242895	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
72.242895	73.717362	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
73.717362	75.13378	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
75.13378	76.538587	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
76.538587	77.920174	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
77.920174	79.278542	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
79.278542	80.648519	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
80.648519	82.041716	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
82.041716	83.434913	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
83.434913	84.828111	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
84.828111	86.209698	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
86.209698	87.626115	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
87.626115	89.007703	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
89.007703	90.43573	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
90.43573	91.840537	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
91.840537	93.268564	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
93.268564	94.684981	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
94.684981	96.066569	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
96.066569	98.852963	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
98.852963	101.662578	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
101.662578	104.390923	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
104.390923	107.212147	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
107.212147	110.021762	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
110.021762	112.854596	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
112.854596	115.617771	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
115.617771	118.415775	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
118.415775	119.832192	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
119.832192	121.22539	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
121.22539	122.641807	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
122.641807	124.069834	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
124.069834	125.428201	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
125.428201	126.856229	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
126.856229	128.272646	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
128.272646	129.689063	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
129.689063	131.10548	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
131.10548	132.510288	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
132.510288	133.726917	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
133.726917	135.366342	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
135.366342	136.484173	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
136.484173	138.187567	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
138.187567	139.360174	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
139.360174	140.904301	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
140.904301	142.134959	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
142.134959	144.181512	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
144.181512	149.394286	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
