start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.497838	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.497838	2.106237	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
2.106237	3.638524	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
3.638524	6.726778	E:9	4	4	0	0	1	0	1	0	1	0	1	0	0	1
6.726778	10.75544	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
10.75544	11.521699	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
11.521699	13.147096	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
13.147096	14.737663	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
14.737663	16.30501	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
16.30501	17.942016	F#:9	6	6	0	1	0	0	1	0	1	0	1	0	1	0
17.942016	19.532583	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
19.532583	23.526415	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
23.526415	24.304284	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
24.304284	25.860021	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
25.860021	27.485418	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
27.485418	29.064375	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
29.064375	29.888683	F#:9	6	6	0	1	0	0	1	0	1	0	1	0	1	0
29.888683	30.654941	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
30.654941	32.233898	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
32.233898	33.836075	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
33.836075	35.391812	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
35.391812	36.959159	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
36.959159	38.514896	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
38.514896	40.105463	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
40.105463	41.73086	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
41.73086	45.713082	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
45.713082	46.490951	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
46.490951	48.081517	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
48.081517	49.672084	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
49.672084	51.262651	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
51.262651	52.086617	F#:9	6	6	0	1	0	0	1	0	1	0	1	0	1	0
52.086617	52.841608	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
52.841608	54.316075	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
54.316075	60.631903	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
60.631903	63.696937	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
63.696937	66.854851	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
66.854851	68.387368	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
68.387368	69.989545	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
69.989545	71.522062	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
71.522062	73.089409	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
73.089409	74.66165	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
74.66165	76.282152	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
76.282152	79.558324	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
79.558324	81.088683	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
81.088683	82.736828	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
82.736828	86.661472	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
86.661472	87.47417	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
87.47417	89.053127	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
89.053127	90.666914	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
90.666914	92.253191	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
92.253191	93.095686	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
93.095686	93.842443	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
93.842443	94.570052	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
94.570052	95.412547	C#	1	1	0	1	0	0	0	1	0	0	1	0	0	0
95.412547	96.178451	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
96.178451	96.901472	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
96.901472	97.734522	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
97.734522	98.503649	C#	1	1	0	1	0	0	0	1	0	0	1	0	0	0
98.503649	99.266331	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
99.266331	100.094216	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
100.094216	100.836435	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
100.836435	101.684783	C#	1	1	0	1	0	0	0	1	0	0	1	0	0	0
101.684783	102.520701	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
102.520701	103.26374	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
103.26374	104.417038	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
104.417038	108.016327	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
