start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.440395	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.440395	2.156928	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
2.156928	3.840375	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
3.840375	5.558652	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
5.558652	7.265318	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
7.265318	9.030035	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
9.030035	10.806361	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
10.806361	12.547858	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
12.547858	14.266135	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
14.266135	16.007631	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
16.007631	17.737518	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
17.737518	19.513844	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
19.513844	21.278561	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
21.278561	22.996837	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
22.996837	24.761554	Bb:min	10	10	0	1	0	0	0	1	0	0	0	0	1	0
24.761554	26.514661	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
26.514661	28.302597	Bb:min	10	10	0	1	0	0	0	1	0	0	0	0	1	0
28.302597	30.067314	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
30.067314	31.7972	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
31.7972	33.561917	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
33.561917	35.291803	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
35.291803	37.04491	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
37.04491	38.821237	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
38.821237	40.585953	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
40.585953	42.33906	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
42.33906	44.092166	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
44.092166	45.856883	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
45.856883	47.633209	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
47.633209	49.397926	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
49.397926	51.174252	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
51.174252	52.915749	Bb:min	10	10	0	1	0	0	0	1	0	0	0	0	1	0
52.915749	54.703686	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
54.703686	56.503232	Bb:min	10	10	0	1	0	0	0	1	0	0	0	0	1	0
56.503232	58.256339	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
58.256339	60.021055	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
60.021055	61.762552	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
61.762552	63.562098	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
63.562098	65.326815	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
65.326815	67.068311	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
67.068311	68.809808	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
68.809808	70.562915	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
70.562915	72.281191	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
72.281191	73.999468	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
73.999468	75.810624	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
75.810624	77.540511	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
77.540511	79.316837	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
79.316837	81.104774	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
81.104774	82.881101	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
82.881101	84.645817	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
84.645817	86.410534	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
86.410534	88.21008	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
88.21008	89.986407	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
89.986407	91.751123	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
91.751123	93.52745	Bb:min	10	10	0	1	0	0	0	1	0	0	0	0	1	0
93.52745	95.303776	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
95.303776	97.103323	Bb:min	10	10	0	1	0	0	0	1	0	0	0	0	1	0
97.103323	98.891259	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
98.891259	100.679196	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
100.679196	102.420692	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
102.420692	104.220239	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
104.220239	106.008175	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
106.008175	107.738062	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
107.738062	109.502779	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
109.502779	111.267495	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
111.267495	112.939332	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
112.939332	114.715658	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
114.715658	116.491985	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
116.491985	118.268311	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
118.268311	120.044638	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
120.044638	121.832574	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
121.832574	123.608901	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
123.608901	125.327178	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
125.327178	127.115114	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
127.115114	128.926271	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
128.926271	130.690987	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
130.690987	132.478924	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
132.478924	134.24364	Bb:min	10	10	0	1	0	0	0	1	0	0	0	0	1	0
134.24364	136.043187	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
136.043187	137.865953	Bb:min	10	10	0	1	0	0	0	1	0	0	0	0	1	0
137.865953	139.71194	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
139.71194	141.523096	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
141.523096	143.380692	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
143.380692	145.586588	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
145.586588	149.03671	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
149.03671	152.581224	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
