start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.440395	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.440395	2.054309	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
2.054309	5.038074	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
5.038074	8.010228	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
8.010228	10.982382	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
10.982382	13.977756	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
13.977756	20.096214	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
20.096214	26.226282	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
26.226282	29.291316	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
29.291316	32.36796	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
32.36796	33.865647	B:7	11	11	0	0	0	1	0	0	1	0	0	1	0	1
33.865647	35.421384	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
35.421384	41.621112	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
41.621112	47.86728	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
47.86728	54.148278	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
54.148278	60.394445	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
60.394445	63.540749	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
63.540749	66.640613	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
66.640613	68.21957	B:7	11	11	0	0	0	1	0	0	1	0	0	1	0	1
68.21957	69.786917	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
69.786917	76.079525	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
76.079525	82.290863	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
82.290863	85.437167	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
85.437167	88.58347	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
88.58347	90.185647	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
90.185647	91.834264	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
91.834264	93.575761	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
93.575761	97.395443	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
97.395443	98.974002	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
98.974002	99.821928	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
99.821928	100.599797	A/5	9	4	0	1	0	0	1	0	0	0	0	1	0	0
100.599797	101.389275	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
101.389275	102.085874	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
102.085874	103.606781	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
103.606781	105.127688	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
105.127688	105.893947	F#:sus4	6	6	0	1	0	0	0	0	1	0	0	0	0	1
105.893947	106.648595	A/5	9	4	0	1	0	0	1	0	0	0	0	1	0	0
106.648595	107.426464	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
107.426464	108.215942	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
108.215942	109.748459	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
109.748459	115.983017	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
115.983017	122.322065	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
122.322065	125.479978	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
125.479978	128.637892	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
128.637892	130.263289	B:7	11	11	0	0	0	1	0	0	1	0	0	1	0	1
130.263289	131.830636	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
131.830636	138.216123	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
138.216123	144.613221	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
144.613221	147.817575	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
147.817575	150.987099	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
150.987099	152.600885	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
152.600885	154.307552	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
154.307552	155.944559	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
155.944559	159.717801	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
159.717801	166.184559	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
166.184559	172.523606	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
172.523606	172.749748	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
172.749748	173.994343	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
173.994343	175.62347	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
175.62347	178.781246	A:9	9	9	0	1	0	0	1	0	0	1	0	1	0	1
178.781246	182.909388	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
