start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.459543	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.459543	2.307948	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
2.307948	4.135884	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
4.135884	6.034751	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
6.034751	7.834297	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
7.834297	9.738333	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
9.738333	11.60754	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
11.60754	13.534796	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
13.534796	15.380782	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
15.380782	17.261599	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
17.261599	19.188855	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
19.188855	21.046451	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
21.046451	22.973708	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
22.973708	24.831304	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
24.831304	26.75856	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
26.75856	28.639376	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
28.639376	30.531803	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
30.531803	32.412619	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
32.412619	34.339875	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
34.339875	36.267132	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
36.267132	38.124728	F#:dim/b3	6	9	1	0	0	0	0	0	1	0	0	1	0	0
38.124728	40.040374	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
40.040374	41.932801	D:7/5	2	9	1	0	1	0	0	0	1	0	0	1	0	0
41.932801	43.848447	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
43.848447	44.096949	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
44.096949	45.740873	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45.740873	47.656519	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
47.656519	49.560556	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
