start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.459543	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.459543	1.340333	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
1.340333	2.278566	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
2.278566	2.948732	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
2.948732	3.389127	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
3.389127	4.10204	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
4.10204	5.007619	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
5.007619	5.878367	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
5.878367	6.586576	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
6.586576	7.062585	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
7.062585	7.735963	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
7.735963	9.53551	B:7(#9)	11	11	0	0	1	1	0	0	1	0	0	1	0	1
9.53551	11.369886	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
11.369886	12.287074	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
12.287074	12.971571	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
12.971571	13.38418	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
13.38418	15.027029	B:7	11	11	0	0	0	1	0	0	1	0	0	1	0	1
15.027029	18.010793	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
18.010793	18.719002	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
18.719002	21.737596	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
21.737596	22.457415	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
22.457415	26.126167	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
26.126167	29.7717	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
29.7717	31.617687	B:7	11	11	0	0	0	1	0	0	1	0	0	1	0	1
31.617687	33.440453	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
33.440453	35.28644	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
35.28644	35.553469	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
35.553469	37.132426	B:7	11	11	0	0	0	1	0	0	1	0	0	1	0	1
37.132426	40.1278	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
40.1278	40.859229	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
40.859229	44.562811	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
44.562811	48.266394	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
48.266394	52.016417	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
52.016417	53.885623	B:7	11	11	0	0	0	1	0	0	1	0	0	1	0	1
53.885623	55.68517	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
55.68517	57.774966	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
57.774966	59.423582	B:7	11	11	0	0	0	1	0	0	1	0	0	1	0	1
59.423582	62.505413	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
62.505413	63.173605	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
63.173605	66.970068	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
66.970068	70.68526	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
70.68526	74.400453	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
74.400453	76.26966	B:7	11	11	0	0	0	1	0	0	1	0	0	1	0	1
76.26966	78.127256	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
78.127256	80.217052	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
80.217052	81.865669	B:7	11	11	0	0	0	1	0	0	1	0	0	1	0	1
81.865669	82.755976	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
82.755976	83.734875	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
83.734875	84.431474	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
84.431474	84.895873	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
84.895873	85.615691	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
85.615691	86.544489	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
86.544489	87.450068	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
87.450068	88.169886	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
88.169886	88.622675	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
88.622675	89.296054	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
89.296054	91.14204	B:7(#9)	11	11	0	0	1	1	0	0	1	0	0	1	0	1
91.14204	93.022857	A:7(#9)	9	9	1	1	0	0	1	0	0	1	0	1	0	0
93.022857	93.986485	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
93.986485	94.641413	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
94.641413	95.135873	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
95.135873	96.74966	B:7	11	11	0	0	0	1	0	0	1	0	0	1	0	1
96.74966	99.849523	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
99.849523	100.569342	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
100.569342	104.354195	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
