start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	1.014823	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.014823	4.155032	G:sus4(b7)	7	7	1	0	1	0	0	1	0	1	0	0	0	0
4.155032	5.017256	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
5.017256	5.853174	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
5.853174	7.525011	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
7.525011	9.231677	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
9.231677	10.915124	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
10.915124	11.774262	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
11.774262	12.668231	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
12.668231	14.374897	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
14.374897	16.069954	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
16.069954	17.788231	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
17.788231	19.518117	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
19.518117	21.213174	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
21.213174	22.107142	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
22.107142	22.954671	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
22.954671	24.661337	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
24.661337	25.532086	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
25.532086	26.402834	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
26.402834	28.074671	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
28.074671	29.769727	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
29.769727	31.534444	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
31.534444	32.381972	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
32.381972	33.241111	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
33.241111	34.947777	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
34.947777	36.654444	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
36.654444	38.40755	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
38.40755	40.125827	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
40.125827	41.878934	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
41.878934	42.726462	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
42.726462	43.59721	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
43.59721	45.338707	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
45.338707	47.068594	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
47.068594	48.78687	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
48.78687	52.304693	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
52.304693	53.97653	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
53.97653	55.694807	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
55.694807	57.401473	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
57.401473	59.16619	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
59.16619	60.071768	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
60.071768	60.907686	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
60.907686	62.625963	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
62.625963	64.36746	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
64.36746	66.120566	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
66.120566	66.956485	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
66.956485	67.838843	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
67.838843	69.626779	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
69.626779	71.333446	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
71.333446	73.074943	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
73.074943	74.846464	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
74.846464	76.534716	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
76.534716	77.417074	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
77.417074	78.287823	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
78.287823	79.035042	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
79.035042	80.040929	G/5	7	2	0	0	1	0	0	0	0	1	0	0	0	1
80.040929	80.911677	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
80.911677	81.817256	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
81.817256	83.541028	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
83.541028	85.311859	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
85.311859	86.995306	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
86.995306	87.889274	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
87.889274	88.748412	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
88.748412	90.478299	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
90.478299	92.266235	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
92.266235	93.972902	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
93.972902	95.702789	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
95.702789	97.455895	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
97.455895	98.303423	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
98.303423	99.162562	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
99.162562	100.938888	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
100.938888	102.645555	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
102.645555	104.398662	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
104.398662	107.858435	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
107.858435	109.611541	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
109.611541	111.353038	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
111.353038	113.036485	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
113.036485	114.789591	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
114.789591	115.62551	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
115.62551	116.519478	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
116.519478	118.272584	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
118.272584	119.944421	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
119.944421	121.732358	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
121.732358	122.591496	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
122.591496	123.462244	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
123.462244	125.203741	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
125.203741	126.922018	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
126.922018	128.651904	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
128.651904	130.393401	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
130.393401	132.192947	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
132.192947	133.075306	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
133.075306	133.934444	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
133.934444	134.784297	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
134.784297	135.68755	G:sus4/5	7	2	1	0	1	0	0	0	0	1	0	0	0	0
135.68755	136.604739	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
136.604739	137.463877	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
137.463877	138.345753	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
138.345753	139.228594	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
139.228594	140.099342	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
140.099342	141.026418	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
141.026418	148.704611	F:maj9(*7)	5	5	1	0	0	0	0	1	0	1	0	1	0	0
148.704611	152.555102	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
