start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.421247	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.421247	1.302038	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
1.302038	2.177599	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
2.177599	3.083177	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
3.083177	4.000366	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
4.000366	4.917554	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
4.917554	5.846352	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
5.846352	6.77515	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
6.77515	7.77393	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
7.77393	8.635573	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
8.635573	9.503495	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
9.503495	10.420683	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
10.420683	11.314651	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
11.314651	12.23184	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
12.23184	13.172248	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
13.172248	14.077826	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
14.077826	15.006624	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
15.006624	15.923812	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
15.923812	16.849898	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
16.849898	17.758189	E:min/b3	4	7	0	0	0	0	1	0	0	1	0	0	0	1
17.758189	18.675377	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
18.675377	20.507092	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
20.507092	22.34413	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
22.34413	23.261318	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
23.261318	24.178506	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
24.178506	25.107304	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
25.107304	26.047713	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
26.047713	26.918461	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
26.918461	27.812429	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
27.812429	28.741227	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
28.741227	29.658415	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
29.658415	30.563994	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
30.563994	31.516968	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
31.516968	32.378611	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
32.378611	33.292338	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
33.292338	34.186307	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
34.186307	35.135866	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
35.135866	35.996293	E:min/b3	4	7	0	0	0	0	1	0	0	1	0	0	0	1
35.996293	36.926261	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
36.926261	38.725808	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
38.725808	40.618234	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
40.618234	42.47583	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
42.47583	44.286987	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
44.286987	46.164891	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
46.164891	47.96735	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
47.96735	51.641107	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
51.641107	53.458869	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
53.458869	55.355744	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
55.355744	57.139232	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
57.139232	59.012938	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
59.012938	60.807985	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
60.807985	62.665581	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
62.665581	64.52745	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
64.52745	66.311114	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
66.311114	67.274742	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
67.274742	68.21515	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
68.21515	69.132338	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
69.132338	70.084357	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
70.084357	70.989935	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
70.989935	71.895513	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
71.895513	72.812701	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
72.812701	73.729889	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
73.729889	74.612248	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
74.612248	75.541046	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
75.541046	76.481454	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
76.481454	77.410252	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
77.410252	78.31583	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
