start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.440395	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.440395	1.021603	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.021603	3.204279	Eb:min	3	3	0	0	0	1	0	0	1	0	0	0	1	0
3.204279	5.456615	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
5.456615	7.69734	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
7.69734	9.914846	Bb:min	10	10	0	1	0	0	0	1	0	0	0	0	1	0
9.914846	12.178792	Eb:min	3	3	0	0	0	1	0	0	1	0	0	0	1	0
12.178792	14.477567	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
14.477567	16.671853	E:min7	4	4	0	0	1	0	1	0	0	1	0	0	0	1
16.671853	18.959018	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
18.959018	20.073576	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
20.073576	21.106864	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
21.106864	22.848361	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
22.848361	23.3592	F:dim	5	5	0	0	0	0	0	1	0	0	1	0	0	1
23.3592	25.541875	E:min7	4	4	0	0	1	0	1	0	0	1	0	0	0	1
25.541875	27.724551	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
27.724551	28.873939	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
28.873939	29.907227	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
29.907227	31.567454	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
31.567454	32.124733	F:dim	5	5	0	0	0	0	0	1	0	0	1	0	0	1
32.124733	34.307408	E:min7	4	4	0	0	1	0	1	0	0	1	0	0	0	1
34.307408	36.466864	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
36.466864	38.7192	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
38.7192	39.810538	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
39.810538	40.890265	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
40.890265	41.958383	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
41.958383	43.072941	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
43.072941	44.721558	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
44.721558	45.290447	F:dim	5	5	0	0	0	0	0	1	0	0	1	0	0	1
45.290447	47.449903	E:min7	4	4	0	0	1	0	1	0	0	1	0	0	0	1
47.449903	49.609358	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
49.609358	50.770356	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
50.770356	51.826864	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
51.826864	53.440651	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
53.440651	53.97471	F:dim	5	5	0	0	0	0	0	1	0	0	1	0	0	1
53.97471	56.215436	E:min7	4	4	0	0	1	0	1	0	0	1	0	0	0	1
56.215436	58.409721	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
58.409721	60.638837	D:9	2	2	1	0	1	0	1	0	1	0	0	1	0	0
60.638837	62.879563	D:9	2	2	1	0	1	0	1	0	1	0	0	1	0	0
62.879563	65.097068	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
65.097068	67.256524	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
67.256524	69.52047	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
69.52047	71.679925	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
71.679925	73.909041	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
73.909041	74.942329	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
74.942329	76.022057	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
76.022057	77.647454	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
77.647454	78.216343	F:dim	5	5	0	0	0	0	0	1	0	0	1	0	0	1
78.216343	80.457068	E:min7	4	4	0	0	1	0	1	0	0	1	0	0	0	1
80.457068	82.651354	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
82.651354	83.765912	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
83.765912	84.89208	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
84.89208	86.529086	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
86.529086	87.109585	F:dim	5	5	0	0	0	0	0	1	0	0	1	0	0	1
87.109585	89.269041	E:min7	4	4	0	0	1	0	1	0	0	1	0	0	0	1
89.269041	91.486547	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
91.486547	93.704052	D:9	2	2	1	0	1	0	1	0	1	0	0	1	0	0
93.704052	95.898338	D:9	2	2	1	0	1	0	1	0	1	0	0	1	0	0
95.898338	98.092624	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
98.092624	100.344959	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
100.344959	102.574075	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
102.574075	104.779971	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
104.779971	107.009086	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
107.009086	108.123644	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
108.123644	109.180152	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
109.180152	110.817159	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
110.817159	111.397658	F:dim	5	5	0	0	0	0	0	1	0	0	1	0	0	1
111.397658	113.591943	E:min7	4	4	0	0	1	0	1	0	0	1	0	0	0	1
113.591943	115.844279	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
115.844279	116.993667	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
116.993667	118.061785	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
118.061785	119.768451	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
119.768451	120.31412	F:dim	5	5	0	0	0	0	0	1	0	0	1	0	0	1
120.31412	122.554846	E:min7	4	4	0	0	1	0	1	0	0	1	0	0	0	1
122.554846	124.737522	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
124.737522	127.001467	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
127.001467	129.195753	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
129.195753	131.471309	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
131.471309	133.770084	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
133.770084	137.345815	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
