start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.421247	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.421247	1.213809	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.213809	5.137981	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
5.137981	9.224693	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
9.224693	11.244829	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
11.244829	13.276575	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
13.276575	15.343151	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
15.343151	17.398117	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
17.398117	19.476303	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
19.476303	21.577709	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
21.577709	23.621065	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
23.621065	25.676031	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
25.676031	29.878843	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
29.878843	31.968639	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
31.968639	34.000385	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
34.000385	36.101791	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
36.101791	38.203197	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
38.203197	40.292993	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
40.292993	42.359569	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
42.359569	44.484195	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
44.484195	46.57399	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
46.57399	50.800022	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
50.800022	52.947868	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
52.947868	55.072494	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
55.072494	57.15068	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
57.15068	59.286916	G#:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
59.286916	61.330272	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
61.330272	63.420068	G#:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
63.420068	67.646099	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
67.646099	69.805555	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
69.805555	71.930181	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
71.930181	73.996757	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
73.996757	76.109773	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
76.109773	78.234399	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
78.234399	80.347414	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
80.347414	82.47204	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
82.47204	84.585056	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
84.585056	88.787868	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
88.787868	90.958934	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
90.958934	92.97907	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
92.97907	95.184965	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
95.184965	97.286371	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
97.286371	99.422607	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
99.422607	101.535623	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
101.535623	103.683469	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
103.683469	105.808095	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
105.808095	110.080566	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
110.080566	112.228412	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
112.228412	114.306598	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
114.306598	116.454444	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
116.454444	118.53263	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
118.53263	120.657256	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
120.657256	122.735442	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
122.735442	124.906507	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
124.906507	127.031133	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
127.031133	131.280385	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
131.280385	135.622517	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
135.622517	139.813718	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
139.813718	144.12102	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
144.12102	147.149392	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
147.149392	151.092245	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
