start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.86551	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.86551	1.527278	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
1.527278	2.398027	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
2.398027	3.024965	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
3.024965	3.884104	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
3.884104	4.557482	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
4.557482	5.416621	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
5.416621	6.06678	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
6.06678	6.949138	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
6.949138	8.435215	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
8.435215	9.967732	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
9.967732	11.546689	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
11.546689	13.067596	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
13.067596	13.822244	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
13.822244	14.600113	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
14.600113	15.180612	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
15.180612	16.12102	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
16.12102	17.653537	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
17.653537	19.209274	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
19.209274	20.741791	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
20.741791	22.309138	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
22.309138	23.052176	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
23.052176	23.818435	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
23.818435	24.410544	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
24.410544	25.362562	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
25.362562	26.883469	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
26.883469	28.404376	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
28.404376	29.878843	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
