start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.440395	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.440395	3.024965	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
3.024965	10.420521	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
10.420521	12.905056	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
12.905056	17.839297	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
17.839297	19.139614	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
19.139614	20.277392	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
20.277392	22.785147	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
22.785147	27.777437	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
27.777437	30.215532	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
30.215532	32.700068	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
32.700068	37.680748	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
37.680748	38.957845	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
38.957845	40.200113	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
40.200113	42.696258	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
42.696258	45.238843	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
45.238843	46.452105	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
46.452105	47.711768	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
47.711768	50.219523	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
50.219523	51.473401	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
51.473401	52.08873	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
52.08873	52.727278	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
52.727278	60.146054	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
60.146054	62.677029	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
62.677029	67.657709	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
67.657709	68.899977	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
68.899977	70.119024	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
70.119024	72.661609	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
72.661609	75.157755	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
75.157755	77.61907	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
77.61907	80.080385	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
80.080385	81.357482	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
81.357482	81.937981	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
81.937981	82.61136	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
82.61136	87.49916	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
87.49916	90.030136	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
90.030136	92.479841	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
92.479841	97.448911	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
97.448911	98.629345	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
98.629345	99.852176	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
99.852176	103.511986	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
103.511986	107.755102	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
