start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	1.110561	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.110561	2.359153	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
2.359153	4.231622	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
4.231622	6.213665	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
6.213665	10.033348	C:maj6	0	0	1	0	0	0	1	0	0	1	0	1	0	0
10.033348	11.995434	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
11.995434	13.91108	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
13.91108	17.520064	C:maj6	0	0	1	0	0	0	1	0	0	1	0	1	0	0
17.520064	19.4026	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
19.4026	21.295026	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
21.295026	23.129402	F:maj7	5	5	1	0	0	0	1	1	0	0	0	1	0	0
23.129402	25.300468	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
25.300468	27.250944	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
27.250944	29.16659	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
29.16659	33.032713	C:maj6	0	0	1	0	0	0	1	0	0	1	0	1	0	0
33.032713	34.936749	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
34.936749	36.852395	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
36.852395	40.706908	C:maj6	0	0	1	0	0	0	1	0	0	1	0	1	0	0
40.706908	42.680604	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
42.680604	44.556491	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
44.556491	48.172123	C:maj6	0	0	1	0	0	0	1	0	0	1	0	1	0	0
48.172123	50.02972	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
50.02972	51.956976	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
51.956976	53.814572	F:maj7	5	5	1	0	0	0	1	1	0	0	0	1	0	0
53.814572	55.915978	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
55.915978	57.843234	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
57.843234	59.782101	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
59.782101	63.706273	C:maj6	0	0	1	0	0	0	1	0	0	1	0	1	0	0
63.706273	65.621919	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
65.621919	67.514346	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
67.514346	71.368858	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
71.368858	73.261284	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
73.261284	75.188541	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
75.188541	78.985003	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
78.985003	80.900649	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
80.900649	82.793076	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
82.793076	86.624368	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
86.624368	88.551624	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
88.551624	90.444051	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
90.444051	94.298563	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
94.298563	96.260649	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
96.260649	98.187906	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
98.187906	102.065638	C:maj6	0	0	1	0	0	0	1	0	0	1	0	1	0	0
102.065638	103.992894	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
103.992894	105.943371	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
105.943371	109.577293	C:maj6	0	0	1	0	0	0	1	0	0	1	0	1	0	0
109.577293	111.4465	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
111.4465	113.327316	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
113.327316	115.231352	F:maj7	5	5	1	0	0	0	1	1	0	0	0	1	0	0
115.231352	117.344368	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
117.344368	119.341284	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
119.341284	121.210491	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
121.210491	124.844414	C:maj6	0	0	1	0	0	0	1	0	0	1	0	1	0	0
124.844414	126.73684	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
126.73684	128.629266	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
128.629266	130.428813	F:maj7	5	5	1	0	0	0	1	1	0	0	0	1	0	0
130.428813	133.363112	C:maj9	0	0	1	0	1	0	1	0	0	1	0	0	0	1
133.363112	137.848163	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
