start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.446041	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.446041	1.32356	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
1.32356	2.252358	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
2.252358	3.146326	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
3.146326	4.075124	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
4.075124	5.805011	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
5.805011	7.534897	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
7.534897	9.334444	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
9.334444	11.064331	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
11.064331	11.946689	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
11.946689	12.852267	E:min/5	4	11	0	0	0	0	1	0	0	1	0	0	0	1
12.852267	13.723015	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
13.723015	14.593764	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
14.593764	15.522562	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
15.522562	16.39331	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
16.39331	17.298888	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
17.298888	18.204467	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
18.204467	20.027233	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
20.027233	21.78034	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
21.78034	23.591496	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
23.591496	25.356213	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
25.356213	26.203741	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
26.203741	27.144149	E:min/5	4	11	0	0	0	0	1	0	0	1	0	0	0	1
27.144149	28.049727	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
28.049727	28.908866	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
28.908866	30.731632	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
30.731632	32.566009	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
32.566009	34.365555	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
34.365555	36.199931	F:min	5	5	1	0	0	0	0	1	0	0	1	0	0	0
36.199931	37.987868	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
37.987868	39.740975	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
39.740975	41.552131	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
41.552131	43.351678	F:min	5	5	1	0	0	0	0	1	0	0	1	0	0	0
43.351678	45.139614	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
45.139614	46.96238	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
46.96238	48.773537	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
48.773537	50.538253	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
50.538253	52.36102	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
52.36102	54.102517	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
54.102517	55.019705	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
55.019705	55.913673	E:min/5	4	11	0	0	0	0	1	0	0	1	0	0	0	1
55.913673	56.830861	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
56.830861	57.748049	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
57.748049	58.676848	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
58.676848	59.570816	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
59.570816	60.464784	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
60.464784	61.381972	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
61.381972	63.181519	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
63.181519	64.957845	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
64.957845	66.745782	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
66.745782	68.498888	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
68.498888	69.427687	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
69.427687	70.321655	E:min/5	4	11	0	0	0	0	1	0	0	1	0	0	0	1
70.321655	71.215623	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
71.215623	72.097981	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
72.097981	73.932358	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
73.932358	75.743514	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
75.743514	77.566281	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
77.566281	79.389047	F:min	5	5	1	0	0	0	0	1	0	0	1	0	0	0
79.389047	81.188594	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
81.188594	82.95331	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
82.95331	84.776077	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
84.776077	86.598843	F:min	5	5	1	0	0	0	0	1	0	0	1	0	0	0
86.598843	88.41	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
88.41	90.244376	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
90.244376	92.032312	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
92.032312	93.843469	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
93.843469	95.666235	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
95.666235	97.419342	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
97.419342	98.3017	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
98.3017	99.218888	E:min/5	4	11	0	0	0	0	1	0	0	1	0	0	0	1
99.218888	100.089637	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
100.089637	100.995215	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
100.995215	101.924013	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
101.924013	102.829591	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
102.829591	103.72356	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
103.72356	106.537309	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
106.537309	111.046531	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
