start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.440395	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.440395	5.665302	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
5.665302	6.569283	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
6.569283	7.498081	F#:sus4	6	6	0	1	0	0	0	0	1	0	0	0	0	1
7.498081	8.355316	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
8.355316	9.332457	F#:sus4	6	6	0	1	0	0	0	0	1	0	0	0	0	1
9.332457	10.296085	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
10.296085	11.201664	F#:sus4	6	6	0	1	0	0	0	0	1	0	0	0	0	1
11.201664	12.130462	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
12.130462	13.08248	F#:sus4	6	6	0	1	0	0	0	0	1	0	0	0	0	1
13.08248	14.011278	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
14.011278	14.928466	F#:sus4	6	6	0	1	0	0	0	0	1	0	0	0	0	1
14.928466	15.880484	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
15.880484	16.820893	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
16.820893	20.547695	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
20.547695	21.522933	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
21.522933	22.451732	F#:sus4	6	6	0	1	0	0	0	0	1	0	0	0	0	1
22.451732	23.3457	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
23.3457	24.309328	F#:sus4	6	6	0	1	0	0	0	0	1	0	0	0	0	1
24.309328	31.832593	D#:min	3	3	0	0	0	1	0	0	1	0	0	0	1	0
31.832593	35.594226	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
35.594226	36.557854	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
36.557854	37.486652	F#:sus4	6	6	0	1	0	0	0	0	1	0	0	0	0	1
37.486652	39.425518	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
39.425518	43.163931	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
43.163931	45.021528	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
45.021528	46.925564	D#:7	3	3	0	1	0	1	0	0	0	1	0	0	1	0
46.925564	48.80638	G#	8	8	1	0	0	1	0	0	0	0	1	0	0	0
48.80638	50.814906	C#:7	1	1	0	1	0	0	0	1	0	0	1	0	0	1
50.814906	51.790144	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
51.790144	52.730552	F#:sus4	6	6	0	1	0	0	0	0	1	0	0	0	0	1
52.730552	53.682571	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
53.682571	54.599759	F#:sus4	6	6	0	1	0	0	0	0	1	0	0	0	0	1
54.599759	55.586607	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
55.586607	56.503795	F#:sus4	6	6	0	1	0	0	0	0	1	0	0	0	0	1
56.503795	57.502253	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
57.502253	58.419441	F#:sus4	6	6	0	1	0	0	0	0	1	0	0	0	0	1
58.419441	59.383069	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
59.383069	60.358308	F#:sus4	6	6	0	1	0	0	0	0	1	0	0	0	0	1
60.358308	61.298716	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
61.298716	62.250734	F#:sus4	6	6	0	1	0	0	0	0	1	0	0	0	0	1
62.250734	63.179532	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
63.179532	64.17799	F#:sus4	6	6	0	1	0	0	0	0	1	0	0	0	0	1
64.17799	65.106788	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
65.106788	66.070416	F#:sus4	6	6	0	1	0	0	0	0	1	0	0	0	0	1
66.070416	67.022435	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
67.022435	67.974453	F#:sus4	6	6	0	1	0	0	0	0	1	0	0	0	0	1
67.974453	69.948149	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
69.948149	73.744611	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
73.744611	75.648648	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
75.648648	77.587514	D#:7	3	3	0	1	0	1	0	0	0	1	0	0	1	0
77.587514	79.46833	G#	8	8	1	0	0	1	0	0	0	0	1	0	0	0
