start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.414094	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.414094	1.329503	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
1.329503	1.770682	D:maj6	2	2	0	0	1	0	0	0	1	0	0	1	0	1
1.770682	2.258301	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
2.258301	3.117439	E/b7	4	2	0	0	1	0	1	0	0	0	1	0	0	1
3.117439	3.593448	E:maj6/b7	4	2	0	1	1	0	1	0	0	0	1	0	0	1
3.593448	3.999798	E/b7	4	2	0	0	1	0	1	0	0	0	1	0	0	1
3.999798	4.893766	G/5	7	2	0	0	1	0	0	0	0	1	0	0	0	1
4.893766	5.323335	G:maj6/5	7	2	0	0	1	0	1	0	0	1	0	0	0	1
5.323335	5.764514	G/5	7	2	0	0	1	0	0	0	0	1	0	0	0	1
5.764514	6.623653	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
6.623653	7.064832	D:maj6	2	2	0	0	1	0	0	0	1	0	0	1	0	1
7.064832	7.494401	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
7.494401	9.212677	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
9.212677	10.919344	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
10.919344	12.660841	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
12.660841	14.425557	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
14.425557	16.143834	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
16.143834	17.90855	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
17.90855	19.638437	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
19.638437	21.310274	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
21.310274	23.13304	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
23.13304	24.828097	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
24.828097	26.534764	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
26.534764	28.24143	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
28.24143	29.948097	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
29.948097	31.654764	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
31.654764	33.34982	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
33.34982	35.114537	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
35.114537	36.867643	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
36.867643	38.57431	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
38.57431	40.315807	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
40.315807	42.045693	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
42.045693	43.76397	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
43.76397	45.505467	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
45.505467	47.223743	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
47.223743	48.93041	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
48.93041	50.671906	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
50.671906	52.378573	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
52.378573	54.02719	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
54.02719	55.780296	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
55.780296	57.521793	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
57.521793	59.20524	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
59.20524	60.888687	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
60.888687	62.630183	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
62.630183	66.101566	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
66.101566	69.665829	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
69.665829	73.125603	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
73.125603	74.843879	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
74.843879	76.608596	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
76.608596	78.292043	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
78.292043	80.010319	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
80.010319	81.728596	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
81.728596	83.481702	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
83.481702	85.223199	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
85.223199	86.906646	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
86.906646	88.648142	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
88.648142	90.389639	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
90.389639	92.096306	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
92.096306	93.814582	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
93.814582	95.544469	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
95.544469	97.274355	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
97.274355	98.981022	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
98.981022	100.699299	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
100.699299	102.417575	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
102.417575	104.170682	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
