start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.426857	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.426857	0.656213	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
0.656213	2.557446	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
2.557446	3.509465	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
3.509465	4.461483	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
4.461483	6.319079	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
6.319079	7.282707	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
7.282707	8.269555	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
8.269555	10.161982	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
10.161982	11.13722	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
11.13722	12.089238	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
12.089238	14.062934	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
14.062934	15.014952	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
15.014952	15.96697	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
15.96697	17.894226	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
17.894226	18.881075	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
18.881075	19.856313	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
19.856313	21.771959	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
21.771959	22.747197	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
22.747197	23.734045	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
23.734045	25.672911	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
25.672911	26.636539	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
26.636539	27.623387	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
27.623387	29.550644	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
29.550644	30.537492	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
30.537492	31.51273	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
31.51273	33.463206	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
33.463206	34.450054	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
