start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	1.053119	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.053119	3.593854	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
3.593854	6.09	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
6.09	8.655804	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
8.655804	11.14034	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
11.14034	13.659705	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
13.659705	16.10941	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
16.10941	18.686825	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
18.686825	19.371814	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
19.371814	19.987142	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
19.987142	21.25263	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
21.25263	23.760385	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
23.760385	26.25653	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
26.25653	28.764285	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
28.764285	29.391224	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
29.391224	29.994943	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
29.994943	31.21399	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
31.21399	36.217891	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
36.217891	41.256621	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
41.256621	46.365011	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
46.365011	48.895986	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
48.895986	51.392131	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
51.392131	53.946326	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
53.946326	56.488911	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
56.488911	59.008276	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
59.008276	59.658435	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
59.658435	60.273764	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
60.273764	61.527641	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
61.527641	64.139886	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
64.139886	66.647641	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
66.647641	69.143786	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
69.143786	69.747505	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
69.747505	70.339614	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
70.339614	71.535442	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
71.535442	76.597392	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
76.597392	81.705782	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
81.705782	86.767732	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
86.767732	89.170425	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
89.170425	91.864512	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
91.864512	94.337437	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
94.337437	96.880022	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
96.880022	99.399387	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
99.399387	100.049546	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
100.049546	100.653265	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
100.653265	101.976802	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
101.976802	104.530997	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
104.530997	107.131632	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
107.131632	109.720657	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
109.720657	110.335986	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
110.335986	110.974535	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
110.974535	112.170362	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
112.170362	117.220702	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
117.220702	122.259433	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
122.259433	127.391043	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
127.391043	129.933628	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
129.933628	132.464603	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
132.464603	133.71848	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
133.71848	136.943715	A:maj6	9	9	0	1	0	0	1	0	1	0	0	1	0	0
136.943715	141.087347	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
