start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.700166	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.700166	3.496145	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
3.496145	6.340589	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
6.340589	9.138594	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
9.138594	11.852371	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
11.852371	13.294965	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
13.294965	14.711383	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
14.711383	16.15102	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
16.15102	17.590657	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
17.590657	18.983854	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
18.983854	20.423492	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
20.423492	21.828299	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
21.828299	23.256326	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
23.256326	24.637913	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
24.637913	26.065941	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
26.065941	27.470748	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
27.470748	28.921995	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
28.921995	30.291972	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
30.291972	31.743219	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
31.743219	33.101587	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
33.101587	33.670476	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
33.670476	34.169705	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
34.169705	34.552834	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
34.552834	36.004081	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
36.004081	37.385668	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
37.385668	38.767256	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
38.767256	40.160453	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
40.160453	41.58848	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
41.58848	43.028117	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
43.028117	44.409705	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
44.409705	45.849342	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
45.849342	47.288979	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
47.288979	48.728616	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
