start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.47869	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.47869	2.456077	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
2.456077	3.442925	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
3.442925	4.394943	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
4.394943	5.370181	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
5.370181	6.345419	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
6.345419	8.342335	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
8.342335	9.236303	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
9.236303	10.199931	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
10.199931	11.17517	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
11.17517	12.162018	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
12.162018	13.125646	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
13.125646	14.100884	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
14.100884	16.06297	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
16.06297	17.014988	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
17.014988	18.013446	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
18.013446	19.940702	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
19.940702	20.892721	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
20.892721	21.856349	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
21.856349	22.843197	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
22.843197	23.841655	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
23.841655	25.780521	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
25.780521	26.709319	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
26.709319	27.684557	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
27.684557	28.648185	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
28.648185	29.635034	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
29.635034	30.598662	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
30.598662	31.58551	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
31.58551	33.535986	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
33.535986	34.499614	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
34.499614	35.486462	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
35.486462	36.47331	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
36.47331	37.436938	D/b7	2	0	1	0	1	0	0	0	1	0	0	1	0	0
37.436938	38.435396	D/6	2	11	0	0	1	0	0	0	1	0	0	1	0	1
38.435396	39.399024	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
39.399024	41.361111	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
41.361111	43.311587	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
43.311587	44.263605	D:sus4	2	2	0	0	1	0	0	0	0	1	0	1	0	0
