start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.459543	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.459543	0.714724	B:(6)	11	11	0	0	0	0	0	0	0	0	1	0	0	1
0.714724	0.950652	B:(1)	11	11	0	0	0	0	0	0	0	0	0	0	0	1
0.950652	1.168004	B:(6)	11	11	0	0	0	0	0	0	0	0	1	0	0	1
1.168004	3.082765	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
3.082765	4.952222	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
4.952222	6.833038	F#:min9	6	6	0	1	0	0	1	0	1	0	1	1	0	0
6.833038	8.771904	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
8.771904	10.583061	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
10.583061	12.405827	G#	8	8	1	0	0	1	0	0	0	0	1	0	0	0
12.405827	14.228594	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
14.228594	16.0978	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
16.0978	17.850907	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
17.850907	19.685283	G#	8	8	1	0	0	1	0	0	0	0	1	0	0	0
19.685283	21.496439	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
21.496439	23.330816	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
23.330816	25.165192	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
25.165192	26.964739	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
26.964739	28.764285	F#:min9	6	6	0	1	0	0	1	0	1	0	1	1	0	0
28.764285	30.552222	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
30.552222	32.386598	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
32.386598	34.209365	G#	8	8	1	0	0	1	0	0	0	0	1	0	0	0
34.209365	36.008911	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
36.008911	37.820068	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
37.820068	39.608004	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
39.608004	41.407551	G#	8	8	1	0	0	1	0	0	0	0	1	0	0	0
41.407551	43.183877	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
43.183877	45.087913	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
45.087913	46.88746	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
46.88746	48.733446	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
48.733446	50.521383	F#:min9	6	6	0	1	0	0	1	0	1	0	1	1	0	0
50.521383	52.344149	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
52.344149	54.190136	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
54.190136	55.943242	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
55.943242	57.824058	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
57.824058	59.611995	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
59.611995	63.245918	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
63.245918	65.045464	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
65.045464	66.833401	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
66.833401	68.679387	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
68.679387	70.478934	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
70.478934	72.27848	G#	8	8	1	0	0	1	0	0	0	0	1	0	0	0
72.27848	74.043197	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
74.043197	75.947233	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
75.947233	77.74678	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
77.74678	79.569546	G#	8	8	1	0	0	1	0	0	0	0	1	0	0	0
79.569546	81.357482	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
81.357482	83.215079	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
83.215079	85.072675	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
85.072675	86.930272	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
86.930272	88.718208	F#:min9	6	6	0	1	0	0	1	0	1	0	1	1	0	0
88.718208	90.552585	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
90.552585	92.340521	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
92.340521	94.140068	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
94.140068	95.997664	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
95.997664	97.80882	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
97.80882	101.407913	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
101.407913	103.2539	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
103.2539	105.007006	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
105.007006	106.852993	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
106.852993	108.675759	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
108.675759	110.498526	G#	8	8	1	0	0	1	0	0	0	0	1	0	0	0
110.498526	112.321292	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
112.321292	114.144058	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
114.144058	115.943605	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
115.943605	117.812811	G#	8	8	1	0	0	1	0	0	0	0	1	0	0	0
117.812811	119.612358	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
119.612358	121.469954	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
121.469954	123.269501	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
123.269501	125.138707	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
125.138707	126.949863	F#:min9	6	6	0	1	0	0	1	0	1	0	1	1	0	0
126.949863	128.81907	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
128.81907	130.688276	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
130.688276	131.570634	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
131.570634	132.476213	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
132.476213	135.890597	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
135.890597	140.460408	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
