start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.421247	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.421247	4.046643	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
4.046643	7.947596	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
7.947596	19.569183	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
19.569183	21.484829	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
21.484829	23.400476	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
23.400476	25.339342	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
25.339342	27.185328	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
27.185328	28.915215	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
28.915215	30.981791	G:maj7	7	7	0	0	1	0	0	0	1	1	0	0	0	1
30.981791	32.874217	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
32.874217	34.813083	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
34.813083	38.725646	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
38.725646	50.277573	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
50.277573	52.251269	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
52.251269	54.178526	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
54.178526	56.105782	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
56.105782	57.963378	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
57.963378	59.728095	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
59.728095	61.852721	G:maj7	7	7	0	0	1	0	0	0	1	1	0	0	0	1
61.852721	63.779977	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
63.779977	65.730453	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
65.730453	69.619795	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
69.619795	75.482834	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
75.482834	77.41009	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
77.41009	83.215079	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
83.215079	87.057981	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
87.057981	98.900158	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
98.900158	100.885464	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
100.885464	102.89399	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
102.89399	104.902517	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
104.902517	106.818163	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
106.818163	108.582879	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
108.582879	110.730725	G:maj7	7	7	0	0	1	0	0	0	1	1	0	0	0	1
110.730725	112.727641	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
112.727641	114.666507	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
114.666507	118.62551	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
118.62551	124.453718	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
124.453718	126.450634	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
126.450634	132.185963	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
132.185963	136.086916	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
136.086916	147.952312	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
147.952312	149.914399	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
149.914399	151.911315	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
151.911315	153.861791	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
153.861791	155.823877	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
155.823877	157.542154	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
157.542154	159.748049	G:maj7	7	7	0	0	1	0	0	0	1	1	0	0	0	1
159.748049	161.675306	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
161.675306	163.660612	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
163.660612	167.573174	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
167.573174	187.704033	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
187.704033	192.496327	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
