start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.440395	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.440395	0.765904	G:(1)	7	7	0	0	0	0	0	0	0	1	0	0	0	0
0.765904	1.053119	G:(7)	7	7	0	0	0	0	0	0	1	1	0	0	0	0
1.053119	1.446009	G:(6)	7	7	0	0	0	0	1	0	0	1	0	0	0	0
1.446009	2.583786	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
2.583786	3.826054	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
3.826054	6.415079	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
6.415079	8.934444	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
8.934444	11.465419	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
11.465419	14.054444	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
14.054444	16.608639	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
16.608639	19.151224	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
19.151224	21.740249	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
21.740249	24.317664	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
24.317664	25.606371	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
25.606371	26.06817	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
26.06817	26.921541	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26.921541	29.530544	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
29.530544	32.096349	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
32.096349	34.673764	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
34.673764	37.216349	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
37.216349	39.816984	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
39.816984	42.394399	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
42.394399	44.983424	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
44.983424	47.560839	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
47.560839	50.173083	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
50.173083	52.715668	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
52.715668	55.304693	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
55.304693	57.893718	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
57.893718	60.436303	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
60.436303	63.071768	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
63.071768	65.672403	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
65.672403	66.984331	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
66.984331	68.249818	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
68.249818	70.838843	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
70.838843	73.393038	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
73.393038	75.958843	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
75.958843	78.513038	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
78.513038	81.090453	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
81.090453	83.656258	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
83.656258	86.303333	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
86.303333	88.892358	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
88.892358	91.527823	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
91.527823	94.093628	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
94.093628	96.694263	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
96.694263	98.384342	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
98.384342	99.294897	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
99.294897	101.883922	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
101.883922	104.507777	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
104.507777	107.085192	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
107.085192	109.697437	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
109.697437	112.240022	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
112.240022	114.852267	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
114.852267	117.441292	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
117.441292	120.065147	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
120.065147	122.654172	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
122.654172	125.219977	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
125.219977	127.785782	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
127.785782	130.386417	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
130.386417	132.998662	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
132.998662	135.610907	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
135.610907	138.211541	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
138.211541	140.823786	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
140.823786	143.447641	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
143.447641	144.806009	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
144.806009	148.508872	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
148.508872	153.182041	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
