start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.479543	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.479543	1.500839	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
1.500839	4.438163	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
4.438163	5.9939	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
5.9939	7.723786	D:7(#9)	2	2	1	0	1	0	0	1	1	0	0	1	0	0
7.723786	9.999342	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
9.999342	12.692857	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
12.692857	14.097664	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
14.097664	15.409591	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
15.409591	16.826009	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
16.826009	18.149546	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
18.149546	19.507913	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
19.507913	20.901111	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
20.901111	22.236258	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
22.236258	23.629455	B:min7	11	11	0	0	1	0	0	0	1	0	0	1	0	1
23.629455	26.39263	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
26.39263	27.750997	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
27.750997	29.120975	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
29.120975	31.826099	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
31.826099	33.184467	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
33.184467	34.566054	A:min7	9	9	1	0	0	0	1	0	0	1	0	1	0	0
34.566054	35.901201	C:maj7	0	0	1	0	0	0	1	0	0	1	0	0	0	1
35.901201	37.259569	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
37.259569	38.641156	A:min7	9	9	1	0	0	0	1	0	0	1	0	1	0	0
38.641156	39.999523	A:min7	9	9	1	0	0	0	1	0	0	1	0	1	0	0
