start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.440395	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.440395	5.396961	F:maj(*3)	5	5	1	0	0	0	0	1	0	0	0	0	0	0
5.396961	7.893106	F:maj(*3)	5	5	1	0	0	0	0	1	0	0	0	0	0	0
7.893106	9.112154	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
9.112154	10.416301	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
10.416301	12.258458	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
12.258458	12.827346	D:min/b7	2	0	1	0	1	0	0	1	0	0	0	1	0	0
12.827346	14.046394	Bb:maj7	10	10	0	0	1	0	0	1	0	0	0	1	1	0
14.046394	15.300272	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
15.300272	17.079669	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
17.079669	17.680317	F/7	5	4	1	0	0	0	1	1	0	0	0	1	0	0
17.680317	18.887755	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
18.887755	20.130022	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
20.130022	20.768571	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
20.768571	22.626167	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
22.626167	25.095075	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
25.095075	26.31814	A:sus4/5	9	4	0	0	1	0	1	0	0	0	0	1	0	0
26.31814	27.537188	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
27.537188	29.406394	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
29.406394	29.986893	A:min/b3	9	0	1	0	0	0	1	0	0	0	0	1	0	0
29.986893	31.217551	Bb:maj	10	10	0	0	1	0	0	1	0	0	0	0	1	0
31.217551	32.436598	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
32.436598	33.048777	Bb/5	10	5	0	0	1	0	0	1	0	0	0	0	1	0
33.048777	34.874693	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
34.874693	36.140181	D:min7	2	2	1	0	1	0	0	1	0	0	0	1	0	0
36.140181	37.312789	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
37.312789	37.951337	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
37.951337	39.890204	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
39.890204	41.144081	E:min7(4)	4	4	0	0	1	0	1	0	0	1	0	1	0	1
41.144081	42.351519	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
42.351519	43.001678	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
43.001678	43.605396	D:min/b7	2	0	1	0	1	0	0	1	0	0	0	1	0	0
43.605396	44.232335	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
44.232335	44.859274	Bb/7	10	9	0	0	1	0	0	1	0	0	0	1	1	0
44.859274	46.043492	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
46.043492	47.274149	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
47.274149	49.758684	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
49.758684	50.989342	E:min7(4)	4	4	0	0	1	0	1	0	0	1	0	1	0	1
50.989342	52.18517	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
52.18517	52.800498	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
52.800498	53.473877	D:min/b7	2	0	1	0	1	0	0	1	0	0	0	1	0	0
53.473877	54.100816	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
54.100816	54.681315	Bb/7	10	9	0	0	1	0	0	1	0	0	0	1	1	0
54.681315	55.935192	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
55.935192	57.17746	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
57.17746	59.766485	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
59.766485	62.15814	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
62.15814	63.377188	A:sus4/5	9	4	0	0	1	0	1	0	0	0	0	1	0	0
63.377188	64.723945	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
64.723945	66.651201	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
66.651201	67.28975	A:min/b3	9	0	1	0	0	0	1	0	0	0	0	1	0	0
67.28975	68.532018	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
68.532018	69.785895	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
69.785895	70.405766	Bb/5	10	5	0	0	1	0	0	1	0	0	0	0	1	0
70.405766	72.30526	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
72.30526	73.559138	D:min7	2	2	1	0	1	0	0	1	0	0	0	1	0	0
73.559138	74.801405	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
74.801405	75.509614	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
75.509614	77.36721	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
77.36721	78.667528	E:min7(4)	4	4	0	0	1	0	1	0	0	1	0	1	0	1
78.667528	79.851746	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
79.851746	80.490294	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
80.490294	81.186893	D:min/b7	2	0	1	0	1	0	0	1	0	0	0	1	0	0
81.186893	81.825442	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
81.825442	82.44077	Bb/7	10	9	0	0	1	0	0	1	0	0	0	1	1	0
82.44077	83.752698	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
83.752698	84.867256	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
84.867256	86.022774	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
86.022774	87.328571	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
87.328571	88.547619	E:min7(4)	4	4	0	0	1	0	1	0	0	1	0	1	0	1
88.547619	89.824716	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
89.824716	90.381995	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
90.381995	91.032154	D:min/b7	2	0	1	0	1	0	0	1	0	0	0	1	0	0
91.032154	91.635873	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
91.635873	92.262811	Bb/7	10	9	0	0	1	0	0	1	0	0	0	1	1	0
92.262811	93.493469	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
93.493469	94.724126	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
94.724126	97.324761	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
97.324761	99.890566	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
99.890566	101.109614	E:min7(4)	4	4	0	0	1	0	1	0	0	1	0	1	0	1
101.109614	102.409931	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
102.409931	104.277891	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
104.277891	104.952517	D:min/b7	2	0	1	0	1	0	0	1	0	0	0	1	0	0
104.952517	106.136734	Bb:maj7	10	10	0	0	1	0	0	1	0	0	0	1	1	0
106.136734	107.390612	C:maj6	0	0	1	0	0	0	1	0	0	1	0	1	0	0
107.390612	107.965937	Bb:maj7/5	10	5	0	0	1	0	0	1	0	0	0	1	1	0
107.965937	109.25801	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
109.25801	109.875147	F/7	5	4	1	0	0	0	1	1	0	0	0	1	0	0
109.875147	111.152244	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
111.152244	112.359682	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
112.359682	113.067891	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
113.067891	114.937097	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
114.937097	116.330294	F/5	5	0	1	0	0	0	0	1	0	0	0	1	0	0
116.330294	117.816371	G/3	7	11	0	0	1	0	0	0	0	1	0	0	0	1
117.816371	118.69873	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
118.69873	123.16914	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
123.16914	127.451429	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
