start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.4021	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.4021	1.829138	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.829138	8.667414	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
8.667414	12.103968	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
12.103968	15.586961	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
15.586961	17.282018	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
17.282018	19.000294	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
19.000294	20.776621	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
20.776621	22.402018	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
22.402018	29.309954	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
29.309954	32.769727	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
32.769727	36.287551	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
36.287551	38.052267	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
38.052267	39.805374	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
39.805374	41.82551	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
41.82551	43.299977	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
43.299977	50.219523	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
50.219523	53.667687	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
53.667687	57.24356	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
57.24356	58.996666	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
58.996666	60.772993	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
60.772993	62.549319	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
62.549319	64.290816	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
64.290816	71.372902	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
71.372902	74.937165	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
74.937165	78.420158	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
78.420158	80.231315	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
80.231315	81.972811	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
81.972811	83.772358	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
83.772358	85.467414	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
85.467414	92.514671	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
92.514671	95.974444	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
95.974444	99.550317	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
99.550317	101.291814	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
101.291814	103.09136	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
103.09136	104.890907	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
104.890907	106.609183	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
106.609183	113.714489	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
113.714489	117.278752	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
117.278752	120.808185	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
120.808185	122.607732	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
122.607732	124.360839	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
124.360839	126.201905	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
126.201905	127.867748	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
127.867748	134.867868	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
134.867868	138.432131	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
138.432131	141.961564	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
141.961564	143.772721	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
143.772721	145.490997	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
145.490997	147.302154	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
147.302154	148.93916	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
148.93916	156.137346	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
156.137346	159.724829	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
159.724829	163.300702	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
163.300702	165.077029	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
165.077029	166.818526	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
166.818526	168.699342	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
168.699342	171.945549	A:maj6	9	9	0	1	0	0	1	0	1	0	0	1	0	0
171.945549	174.158367	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
