start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.421247	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.421247	5.346961	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
5.346961	6.298979	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
6.298979	8.319115	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
8.319115	13.218526	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
13.218526	14.193764	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
14.193764	16.16746	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
16.16746	21.09009	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
21.09009	22.030498	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
22.030498	24.004195	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
24.004195	28.950045	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
28.950045	29.960113	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
29.960113	31.968639	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
31.968639	35.985691	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
35.985691	39.979523	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
39.979523	43.926916	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
43.926916	45.912222	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
45.912222	47.885918	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
47.885918	52.959478	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
52.959478	53.992766	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
53.992766	55.966462	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
55.966462	61.040022	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
61.040022	62.00365	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
62.00365	64.093446	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
64.093446	69.167006	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
69.167006	70.130634	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
70.130634	72.16238	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
72.16238	77.27077	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
77.27077	78.269229	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
78.269229	80.324195	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
80.324195	84.445736	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
84.445736	88.474399	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
88.474399	92.526281	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
92.526281	94.534807	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
94.534807	96.589773	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
96.589773	101.651723	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
101.651723	102.708231	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
102.708231	104.751587	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
104.751587	109.906417	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
109.906417	110.928095	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
110.928095	112.994671	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
112.994671	118.068231	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
118.068231	119.113129	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
119.113129	122.64045	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
122.64045	125.44	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
