start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.421247	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.421247	3.512585	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
3.512585	3.791224	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
3.791224	4.093083	G#	8	8	1	0	0	1	0	0	0	0	1	0	0	0
4.093083	5.91585	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
5.91585	7.773446	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
7.773446	9.619433	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
9.619433	11.453809	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
11.453809	15.122562	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
15.122562	16.956938	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
16.956938	18.826145	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
18.826145	20.683741	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
20.683741	22.529727	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
22.529727	24.364104	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
24.364104	26.24492	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
26.24492	29.902063	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
29.902063	33.524376	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
33.524376	35.300702	Eb/5	3	10	0	0	0	1	0	0	0	1	0	0	1	0
35.300702	37.123469	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
37.123469	40.827052	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
40.827052	42.684648	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
42.684648	44.507414	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
44.507414	46.376621	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
46.376621	48.199387	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
48.199387	51.9378	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
51.9378	53.818616	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
53.818616	55.711043	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
55.711043	57.580249	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
57.580249	59.449455	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
59.449455	61.330272	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
61.330272	63.222698	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
63.222698	66.891451	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
66.891451	70.548594	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
70.548594	72.33653	Eb/5	3	10	0	0	0	1	0	0	0	1	0	0	1	0
72.33653	74.170907	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
74.170907	77.886099	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
77.886099	79.708866	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
79.708866	81.589682	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
81.589682	83.400839	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
83.400839	85.293265	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
85.293265	89.031678	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
89.031678	90.877664	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
90.877664	92.77009	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
92.77009	94.616077	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
94.616077	96.520113	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
96.520113	98.412539	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
98.412539	100.316575	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
100.316575	104.054988	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
104.054988	107.654081	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
107.654081	109.453628	Eb/5	3	10	0	0	0	1	0	0	0	1	0	0	1	0
109.453628	111.276394	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
111.276394	114.945147	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
114.945147	118.60229	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
118.60229	122.224603	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
122.224603	124.058979	Eb/5	3	10	0	0	0	1	0	0	0	1	0	0	1	0
124.058979	125.916575	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
125.916575	127.752862	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
127.752862	129.550498	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
129.550498	131.373265	Eb/5	3	10	0	0	0	1	0	0	0	1	0	0	1	0
131.373265	133.196031	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
133.196031	135.018798	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
135.018798	136.400385	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
136.400385	139.337143	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
