start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.4021	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.4021	1.302038	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
1.302038	5.346961	D:7(#9)	2	2	1	0	1	0	0	1	1	0	0	1	0	0
5.346961	13.323015	D:7(#9)	2	2	1	0	1	0	0	1	1	0	0	1	0	0
13.323015	17.293628	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
17.293628	21.26424	D:7(#9)	2	2	1	0	1	0	0	1	1	0	0	1	0	0
21.26424	21.972448	A:sus4	9	9	0	0	1	0	1	0	0	0	0	1	0	0
21.972448	23.191496	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
23.191496	23.818435	G:sus4	7	7	1	0	1	0	0	0	0	1	0	0	0	0
23.818435	24.991043	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
24.991043	28.764285	D:7(#9)	2	2	1	0	1	0	0	1	1	0	0	1	0	0
28.764285	30.703151	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
30.703151	32.676848	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
32.676848	34.650544	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
34.650544	36.64746	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
36.64746	44.623514	D:7(#9)	2	2	1	0	1	0	0	1	1	0	0	1	0	0
44.623514	48.582517	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
48.582517	52.553129	D:7(#9)	2	2	1	0	1	0	0	1	1	0	0	1	0	0
52.553129	53.307777	A:sus4	9	9	0	0	1	0	1	0	0	0	0	1	0	0
53.307777	54.410725	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
54.410725	55.153764	G:sus4	7	7	1	0	1	0	0	0	0	1	0	0	0	0
55.153764	56.268321	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
56.268321	60.088004	D:7(#9)	2	2	1	0	1	0	0	1	1	0	0	1	0	0
60.088004	62.03848	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
62.03848	63.977346	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
63.977346	65.916213	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
65.916213	67.936349	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
67.936349	75.900793	D:7(#9)	2	2	1	0	1	0	0	1	1	0	0	1	0	0
75.900793	79.836575	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
79.836575	83.830408	D:7(#9)	2	2	1	0	1	0	0	1	1	0	0	1	0	0
83.830408	84.585056	A:sus4	9	9	0	0	1	0	1	0	0	0	0	1	0	0
84.585056	85.666413	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
85.666413	86.431043	G:sus4	7	7	1	0	1	0	0	0	0	1	0	0	0	0
86.431043	87.65009	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
87.65009	91.376893	D:7(#9)	2	2	1	0	1	0	0	1	1	0	0	1	0	0
91.376893	93.269319	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
93.269319	95.254625	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
95.254625	97.239931	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
97.239931	99.213628	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
99.213628	107.212902	D:7(#9)	2	2	1	0	1	0	0	1	1	0	0	1	0	0
107.212902	111.183514	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
111.183514	115.130907	D:7(#9)	2	2	1	0	1	0	0	1	1	0	0	1	0	0
115.130907	115.873945	A:sus4	9	9	0	0	1	0	1	0	0	0	0	1	0	0
115.873945	117.069773	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
117.069773	117.859251	G:sus4	7	7	1	0	1	0	0	0	0	1	0	0	0	0
117.859251	119.031859	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
119.031859	122.956031	D:7(#9)	2	2	1	0	1	0	0	1	1	0	0	1	0	0
122.956031	124.836848	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
124.836848	126.810544	C:maj(9)	0	0	1	0	1	0	1	0	0	1	0	0	0	0
126.810544	128.78424	F:maj6	5	5	1	0	1	0	0	1	0	0	0	1	0	0
128.78424	130.734716	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
