start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.459543	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.459543	1.480839	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
1.480839	2.676666	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
2.676666	3.884104	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
3.884104	6.357029	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
6.357029	13.717755	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
13.717755	16.17907	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
16.17907	23.632675	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
23.632675	26.14043	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
26.14043	27.359478	B:sus4	11	11	0	0	0	0	1	0	1	0	0	0	0	1
27.359478	28.613356	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
28.613356	31.051451	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
31.051451	33.570816	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
33.570816	36.032131	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
36.032131	38.528276	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
38.528276	41.036031	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
41.036031	42.313129	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
42.313129	43.555396	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
43.555396	46.016712	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
46.016712	48.547687	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
48.547687	55.908412	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
55.908412	58.392947	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
58.392947	65.695623	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
65.695623	68.261428	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
68.261428	69.538526	B:sus4	11	11	0	0	0	0	1	0	1	0	0	0	0	1
69.538526	70.769183	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
70.769183	73.230498	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
73.230498	75.786245	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
75.786245	78.198844	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
78.198844	80.726329	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
80.726329	83.191859	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
83.191859	84.434126	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
84.434126	85.653174	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
85.653174	88.114489	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
88.114489	90.587414	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
90.587414	97.98297	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
97.98297	100.432675	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
100.432675	107.793401	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
107.793401	110.277936	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
110.277936	111.450544	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
111.450544	112.716031	B:7	11	11	0	0	0	1	0	0	1	0	0	1	0	1
112.716031	115.200566	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
115.200566	117.685102	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
117.685102	120.169637	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
120.169637	122.621302	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
122.621302	125.138707	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
125.138707	126.334535	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
126.334535	127.634852	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
127.634852	130.061337	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
130.061337	132.522653	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
132.522653	139.929818	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
139.929818	142.414353	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
142.414353	149.809909	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
149.809909	152.340884	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
152.340884	153.536712	B:sus4	11	11	0	0	0	0	1	0	1	0	0	0	0	1
153.536712	154.778979	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
154.778979	157.228684	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
157.228684	159.736439	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
159.736439	161.454716	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
161.454716	165.875756	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
165.875756	170.814694	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
