start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.4021	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.4021	1.724648	Ab/5	8	3	1	0	0	1	0	0	0	0	1	0	0	0
1.724648	3.129455	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
3.129455	3.802834	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
3.802834	4.464603	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
4.464603	5.172811	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
5.172811	5.82297	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
5.82297	6.531179	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
6.531179	7.192947	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
7.192947	7.924376	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
7.924376	8.597755	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
8.597755	10.014172	Bb:min	10	10	0	1	0	0	0	1	0	0	0	0	1	0
10.014172	11.395759	F:min	5	5	1	0	0	0	0	1	0	0	1	0	0	0
11.395759	12.765736	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
12.765736	13.479918	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
13.479918	14.193764	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
14.193764	15.586961	Bb:min	10	10	0	1	0	0	0	1	0	0	0	0	1	0
15.586961	16.968548	F:min	5	5	1	0	0	0	0	1	0	0	1	0	0	0
16.968548	18.361746	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
18.361746	19.778163	F:min	5	5	1	0	0	0	0	1	0	0	1	0	0	0
19.778163	21.18297	Bb:min	10	10	0	1	0	0	0	1	0	0	0	0	1	0
21.18297	21.879569	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
21.879569	22.552947	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
22.552947	23.946145	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
23.946145	24.631133	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
24.631133	25.350952	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
25.350952	26.732539	Bb:min	10	10	0	1	0	0	0	1	0	0	0	0	1	0
26.732539	28.102517	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
28.102517	28.787505	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
28.787505	29.495714	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
29.495714	30.203922	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
30.203922	30.877301	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
30.877301	31.5739	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
31.5739	32.270498	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
32.270498	32.914744	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
32.914744	33.58491	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
33.58491	35.056893	Bb:min	10	10	0	1	0	0	0	1	0	0	0	0	1	0
35.056893	36.4617	F:min	5	5	1	0	0	0	0	1	0	0	1	0	0	0
36.4617	37.808458	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
37.808458	38.528276	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
38.528276	39.213265	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
39.213265	40.618072	Bb:min	10	10	0	1	0	0	0	1	0	0	0	0	1	0
40.618072	41.976439	F:min	5	5	1	0	0	0	0	1	0	0	1	0	0	0
