start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.440395	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.440395	2.470042	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
2.470042	5.045102	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
5.045102	7.142059	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
7.142059	9.607823	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
9.607823	10.75721	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
10.75721	11.929818	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
11.929818	12.823786	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
12.823786	14.275034	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
14.275034	15.436031	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
15.436031	16.585419	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
16.585419	18.895804	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
18.895804	20.068412	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
20.068412	21.24102	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
21.24102	22.076938	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
22.076938	23.539795	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
23.539795	24.730593	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
24.730593	25.908231	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
25.908231	28.230226	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
28.230226	30.552222	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
30.552222	32.885827	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
32.885827	35.172993	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
35.172993	37.483378	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
37.483378	39.816984	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
39.816984	42.127369	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
42.127369	44.402925	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
44.402925	46.7017	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
46.7017	49.058526	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
49.058526	51.415351	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
51.415351	52.576349	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
52.576349	53.748956	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
53.748956	54.596485	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
54.596485	56.059342	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
56.059342	57.23195	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
57.23195	58.439387	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
58.439387	60.842653	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
60.842653	61.98043	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
61.98043	63.164648	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
63.164648	63.988956	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
63.988956	65.486643	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
65.486643	66.624421	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
66.624421	67.831859	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
67.831859	70.177074	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
70.177074	72.52229	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
72.52229	74.786235	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
74.786235	77.096621	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
77.096621	79.383786	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
79.383786	81.763832	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
81.763832	84.109047	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
84.109047	86.384603	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
86.384603	88.660158	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
88.660158	89.832766	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
89.832766	91.040204	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
91.040204	91.922562	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
91.922562	93.362199	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
93.362199	94.534807	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
94.534807	95.707414	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
95.707414	98.02941	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
98.02941	99.167188	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
99.167188	100.339795	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
100.339795	101.198934	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
101.198934	102.603741	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
102.603741	103.776349	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
103.776349	104.925736	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
104.925736	107.247732	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
107.247732	109.558117	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
109.558117	111.833673	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
111.833673	114.144058	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
114.144058	116.431224	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
116.431224	118.776439	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
118.776439	121.075215	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
121.075215	123.33916	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
123.33916	125.637936	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
125.637936	127.681292	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
127.681292	130.339977	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
130.339977	134.902698	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
134.902698	137.189863	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
137.189863	139.848548	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
139.848548	143.79856	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
143.79856	147.983673	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
