start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.411247	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.411247	8.587755	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
8.587755	11.269659	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
11.269659	13.974784	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
13.974784	16.691519	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
16.691519	19.396643	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
19.396643	20.789841	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
20.789841	22.136598	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
22.136598	23.494965	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
23.494965	24.841723	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
24.841723	26.22331	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
26.22331	26.896689	E:min/b3	4	7	0	0	0	0	1	0	0	1	0	0	0	1
26.896689	27.616507	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
27.616507	30.275192	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
30.275192	35.685442	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
35.685442	38.390566	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
38.390566	41.118911	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
41.118911	43.824036	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
43.824036	46.52916	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
46.52916	47.899138	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
47.899138	49.257505	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
49.257505	50.604263	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
50.604263	51.96263	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
51.96263	53.367437	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
53.367437	54.017596	E:min/b3	4	7	0	0	0	0	1	0	0	1	0	0	0	1
54.017596	54.690975	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
54.690975	57.396099	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
57.396099	62.899229	D:maj6	2	2	0	0	1	0	0	0	1	0	0	1	0	1
62.899229	65.534693	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
65.534693	68.204988	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
68.204988	70.956553	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
70.956553	73.684897	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
73.684897	76.378412	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
76.378412	79.095147	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
79.095147	81.811882	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
81.811882	84.563446	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
84.563446	85.945034	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
85.945034	87.291791	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
87.291791	88.673378	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
88.673378	90.054965	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
90.054965	91.401723	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
91.401723	92.075102	E:min/b3	4	7	0	0	0	0	1	0	0	1	0	0	0	1
92.075102	92.7717	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
92.7717	95.476825	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
95.476825	100.927059	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
100.927059	103.580589	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
103.580589	106.262494	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
106.262494	109.002448	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
109.002448	111.730793	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
111.730793	113.11238	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
113.11238	114.482358	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
114.482358	115.829115	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
115.829115	117.210702	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
117.210702	118.6039	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
118.6039	119.277278	E:min/b3	4	7	0	0	0	0	1	0	0	1	0	0	0	1
119.277278	119.962267	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
119.962267	122.690612	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
122.690612	137.250077	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
137.250077	138.684082	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
