start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	6.146383	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6.146383	12.560883	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
12.560883	13.958609	D:7(#9)	2	2	1	0	1	0	0	1	1	0	0	1	0	0
13.958609	19.608139	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
19.608139	20.947487	D:7(#9)	2	2	1	0	1	0	0	1	1	0	0	1	0	0
20.947487	23.044692	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
23.044692	26.597345	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
26.597345	28.408502	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
28.408502	35.513808	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
35.513808	36.860565	D:7(#9)	2	2	1	0	1	0	0	1	1	0	0	1	0	0
36.860565	42.595894	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
42.595894	43.907821	D:7(#9)	2	2	1	0	1	0	0	1	1	0	0	1	0	0
43.907821	46.102107	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
46.102107	49.63154	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
49.63154	51.477527	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
51.477527	60.382379	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
60.382379	62.170316	C:9	0	0	1	0	1	0	1	0	0	1	0	0	1	0
62.170316	67.342149	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
67.342149	71.017118	C:9	0	0	1	0	1	0	1	0	0	1	0	0	1	0
71.017118	85.297391	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
85.297391	88.931313	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
88.931313	90.80052	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
90.80052	98.033536	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
98.033536	99.376102	D:7(#9)	2	2	1	0	1	0	0	1	1	0	0	1	0	0
99.376102	105.289771	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
105.289771	106.636529	D:7(#9)	2	2	1	0	1	0	0	1	1	0	0	1	0	0
106.636529	108.900474	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
108.900474	112.522787	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
112.522787	114.391994	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
114.391994	118.095576	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
118.095576	121.717889	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
121.717889	123.111087	D:7(#9)	2	2	1	0	1	0	0	1	1	0	0	1	0	0
123.111087	128.997345	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
128.997345	130.402152	D:7(#9)	2	2	1	0	1	0	0	1	1	0	0	1	0	0
130.402152	132.549998	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
132.549998	136.183921	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
136.183921	138.053127	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
138.053127	139.875894	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
139.875894	143.625917	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
143.625917	147.20179	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
147.20179	148.566315	D:7(#9)	2	2	1	0	1	0	0	1	1	0	0	1	0	0
148.566315	154.980765	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
154.980765	159.007347	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
