start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.440395	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.440395	4.959231	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4.959231	35.834761	C:min(*b3)	0	0	1	0	0	1	0	0	0	1	0	0	0	0
35.834761	58.265238	C:min(*b3)	0	0	1	0	0	1	0	0	0	1	0	0	0	0
58.265238	59.721399	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
59.721399	60.238385	C:min(*b3)	0	0	1	0	0	1	0	0	0	1	0	0	0	0
60.238385	61.608911	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
61.608911	62.14297	C:min(*b3)	0	0	1	0	0	1	0	0	0	1	0	0	0	0
62.14297	63.478117	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
63.478117	63.977346	C:min(*b3)	0	0	1	0	0	1	0	0	0	1	0	0	0	0
63.977346	65.370544	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
65.370544	88.277029	C:min(*b3)	0	0	1	0	0	1	0	0	0	1	0	0	0	0
88.277029	89.716666	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
89.716666	90.300134	C:min(*b3)	0	0	1	0	0	1	0	0	0	1	0	0	0	0
90.300134	91.609092	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
91.609092	92.143151	C:min(*b3)	0	0	1	0	0	1	0	0	0	1	0	0	0	0
92.143151	93.478299	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
93.478299	94.023968	C:min(*b3)	0	0	1	0	0	1	0	0	0	1	0	0	0	0
94.023968	95.370725	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
95.370725	114.904815	C:min(*b3)	0	0	1	0	0	1	0	0	0	1	0	0	0	0
114.904815	116.338344	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
116.338344	116.884013	C:min(*b3)	0	0	1	0	0	1	0	0	0	1	0	0	0	0
116.884013	118.25399	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
118.25399	118.799659	C:min(*b3)	0	0	1	0	0	1	0	0	0	1	0	0	0	0
118.799659	120.169637	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
120.169637	120.692086	C:min(*b3)	0	0	1	0	0	1	0	0	0	1	0	0	0	0
120.692086	122.004013	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
122.004013	144.717645	C:min(*b3)	0	0	1	0	0	1	0	0	0	1	0	0	0	0
144.717645	146.234036	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
146.234036	146.779705	C:min(*b3)	0	0	1	0	0	1	0	0	0	1	0	0	0	0
146.779705	148.103242	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
148.103242	148.614081	C:min(*b3)	0	0	1	0	0	1	0	0	0	1	0	0	0	0
148.614081	149.984058	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
149.984058	150.471678	C:min(*b3)	0	0	1	0	0	1	0	0	0	1	0	0	0	0
150.471678	151.899705	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
151.899705	176.598418	C:min(*b3)	0	0	1	0	0	1	0	0	0	1	0	0	0	0
176.598418	181.211429	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
