start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.424331	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.424331	2.072947	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
2.072947	3.963556	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
3.963556	6.809818	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
6.809818	7.668956	A:sus4	9	9	0	0	1	0	1	0	0	0	0	1	0	0
7.668956	8.388775	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
8.388775	10.107052	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
10.107052	11.569909	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
11.569909	13.079206	A:min7	9	9	1	0	0	0	1	0	0	1	0	1	0	0
13.079206	14.565283	G/3	7	11	0	0	1	0	0	0	0	1	0	0	0	1
14.565283	16.064846	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
16.064846	17.500917	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
17.500917	18.936988	A:min7	9	9	1	0	0	0	1	0	0	1	0	1	0	0
18.936988	20.323832	G/3	7	11	0	0	1	0	0	0	0	1	0	0	0	1
20.323832	21.809909	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
21.809909	23.284376	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
23.284376	24.689183	B:7	11	11	0	0	0	1	0	0	1	0	0	1	0	1
24.689183	26.12882	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
26.12882	27.553413	B:7	11	11	0	0	0	1	0	0	1	0	0	1	0	1
27.553413	29.031315	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
29.031315	30.521292	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
30.521292	31.957363	A:min7	9	9	1	0	0	0	1	0	0	1	0	1	0	0
31.957363	33.350226	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
33.350226	34.925243	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
34.925243	36.264331	A:min7	9	9	1	0	0	0	1	0	0	1	0	1	0	0
36.264331	37.692358	G/3	7	11	0	0	1	0	0	0	0	1	0	0	0	1
37.692358	39.156865	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
39.156865	40.583242	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
40.583242	42.034489	A:min7	9	9	1	0	0	0	1	0	0	1	0	1	0	0
42.034489	43.520566	G/3	7	11	0	0	1	0	0	0	0	1	0	0	0	1
43.520566	44.948594	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
44.948594	46.388231	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
46.388231	47.804648	B:7	11	11	0	0	0	1	0	0	1	0	0	1	0	1
47.804648	49.267505	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
49.267505	50.718752	B:7	11	11	0	0	0	1	0	0	1	0	0	1	0	1
50.718752	52.13517	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
52.13517	53.598027	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
53.598027	55.060884	A:min7	9	9	1	0	0	0	1	0	0	1	0	1	0	0
55.060884	55.815287	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
55.815287	56.488911	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
56.488911	57.940158	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
57.940158	59.437845	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
59.437845	60.854263	C:min	0	0	1	0	0	1	0	0	0	1	0	0	0	0
60.854263	62.25907	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
62.25907	65.115124	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
65.115124	66.566371	C:min	0	0	1	0	0	1	0	0	0	1	0	0	0	0
66.566371	67.994399	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
67.994399	69.445646	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
69.445646	70.908503	A:min7	9	9	1	0	0	0	1	0	0	1	0	1	0	0
70.908503	72.37136	G/3	7	11	0	0	1	0	0	0	0	1	0	0	0	1
72.37136	73.787777	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
73.787777	75.204195	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
75.204195	76.643832	A:min7	9	9	1	0	0	0	1	0	0	1	0	1	0	0
76.643832	78.106689	G/3	7	11	0	0	1	0	0	0	0	1	0	0	0	1
78.106689	79.577472	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
79.577472	80.951133	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
80.951133	82.39077	B:7	11	11	0	0	0	1	0	0	1	0	0	1	0	1
82.39077	83.830408	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
83.830408	85.293265	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
85.293265	86.732902	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
86.732902	88.218979	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
88.218979	89.670226	A:min7	9	9	1	0	0	0	1	0	0	1	0	1	0	0
89.670226	90.355215	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
90.355215	91.086643	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
91.086643	92.526281	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
92.526281	94.014771	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
94.014771	95.475215	C:min	0	0	1	0	0	1	0	0	0	1	0	0	0	0
95.475215	96.903242	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
96.903242	99.805736	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
99.805736	101.222154	C:min	0	0	1	0	0	1	0	0	0	1	0	0	0	0
101.222154	102.638571	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
102.638571	104.101428	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
104.101428	105.552675	A:min7	9	9	1	0	0	0	1	0	0	1	0	1	0	0
105.552675	107.027142	G/3	7	11	0	0	1	0	0	0	0	1	0	0	0	1
107.027142	108.501609	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
108.501609	109.964467	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
109.964467	111.404104	A:min7	9	9	1	0	0	0	1	0	0	1	0	1	0	0
111.404104	112.890181	G/3	7	11	0	0	1	0	0	0	0	1	0	0	0	1
112.890181	114.329818	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
114.329818	115.792675	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
115.792675	117.232312	B:7	11	11	0	0	0	1	0	0	1	0	0	1	0	1
117.232312	118.67195	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
118.67195	120.181247	B:7	11	11	0	0	0	1	0	0	1	0	0	1	0	1
120.181247	121.586054	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
121.586054	123.048911	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
123.048911	124.534988	A:min7	9	9	1	0	0	0	1	0	0	1	0	1	0	0
124.534988	125.219977	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
125.219977	125.939795	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
125.939795	127.425873	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
127.425873	128.80746	A:min7	9	9	1	0	0	0	1	0	0	1	0	1	0	0
128.80746	130.328367	G/3	7	11	0	0	1	0	0	0	0	1	0	0	0	1
130.328367	131.791224	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
131.791224	133.300521	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
133.300521	134.728548	A:min7	9	9	1	0	0	0	1	0	0	1	0	1	0	0
134.728548	136.214625	G/3	7	11	0	0	1	0	0	0	0	1	0	0	0	1
136.214625	137.712312	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
137.712312	141.424256	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
141.424256	145.867755	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
