start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.459543	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.459543	0.993219	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
0.993219	2.595396	C#	1	1	0	1	0	0	0	1	0	0	1	0	0	0
2.595396	3.187505	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
3.187505	4.905782	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
4.905782	5.451451	D#:min	3	3	0	0	0	1	0	0	1	0	0	0	1	0
5.451451	7.134897	G#:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
7.134897	7.703786	G#:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
7.703786	9.375623	C#	1	1	0	1	0	0	0	1	0	0	1	0	0	0
9.375623	9.921292	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
9.921292	11.546689	C#	1	1	0	1	0	0	0	1	0	0	1	0	0	0
11.546689	12.057528	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
12.057528	13.775804	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
13.775804	14.309863	D#:min	3	3	0	0	0	1	0	0	1	0	0	0	1	0
14.309863	15.87721	G#:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
15.87721	16.434489	G#:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
16.434489	18.071496	C#	1	1	0	1	0	0	0	1	0	0	1	0	0	0
18.071496	18.640385	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
18.640385	20.242562	C#	1	1	0	1	0	0	0	1	0	0	1	0	0	0
20.242562	20.811451	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
20.811451	22.402018	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
22.402018	22.970907	D#:min	3	3	0	0	0	1	0	0	1	0	0	0	1	0
22.970907	24.561473	G#:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
24.561473	25.095532	G#:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
25.095532	26.732539	C#	1	1	0	1	0	0	0	1	0	0	1	0	0	0
26.732539	27.254988	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
27.254988	28.880385	C#	1	1	0	1	0	0	0	1	0	0	1	0	0	0
28.880385	29.449274	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
29.449274	31.074671	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
31.074671	31.64356	D#:min	3	3	0	0	0	1	0	0	1	0	0	0	1	0
31.64356	33.222517	G#:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
33.222517	33.779795	G#:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
33.779795	35.974081	C#	1	1	0	1	0	0	0	1	0	0	1	0	0	0
35.974081	38.103746	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
38.103746	42.487278	C#	1	1	0	1	0	0	0	1	0	0	1	0	0	0
42.487278	44.600294	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
44.600294	46.72492	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
46.72492	51.043832	C#	1	1	0	1	0	0	0	1	0	0	1	0	0	0
51.043832	53.168458	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
53.168458	54.793854	C#	1	1	0	1	0	0	0	1	0	0	1	0	0	0
54.793854	55.327913	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
55.327913	56.98814	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
56.98814	57.498979	D#:min	3	3	0	0	0	1	0	0	1	0	0	0	1	0
57.498979	59.112766	G#:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
59.112766	59.635215	G#:min	8	8	0	0	0	1	0	0	0	0	1	0	0	1
59.635215	61.330272	C#	1	1	0	1	0	0	0	1	0	0	1	0	0	0
61.330272	61.89916	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
61.89916	63.454897	C#	1	1	0	1	0	0	0	1	0	0	1	0	0	0
63.454897	64.047006	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
64.047006	65.625963	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
65.625963	68.356972	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
68.356972	69.956485	C#	1	1	0	1	0	0	0	1	0	0	1	0	0	0
69.956485	70.513764	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
70.513764	72.696439	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
72.696439	74.867505	C#	1	1	0	1	0	0	0	1	0	0	1	0	0	0
74.867505	76.980521	C#	1	1	0	1	0	0	0	1	0	0	1	0	0	0
76.980521	79.116757	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
