start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.440395	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.440395	2.548956	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
2.548956	4.789682	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
4.789682	6.879478	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
6.879478	8.005646	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
8.005646	9.096984	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
9.096984	11.337709	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
11.337709	12.382607	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
12.382607	13.520385	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
13.520385	15.668231	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
15.668231	16.782789	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
16.782789	17.908956	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
17.908956	20.126462	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
20.126462	20.96238	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
20.96238	22.297528	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
22.297528	23.145056	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
23.145056	24.515034	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
24.515034	25.374172	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
25.374172	26.732539	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
26.732539	27.591678	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
27.591678	28.984875	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
28.984875	30.145873	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
30.145873	31.20238	Ab:maj(9)	8	8	1	0	0	1	0	0	0	0	1	0	1	0
31.20238	33.396666	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
33.396666	34.488004	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
34.488004	35.602562	Ab:maj(9)	8	8	1	0	0	1	0	0	0	0	1	0	1	0
35.602562	37.796848	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
37.796848	38.888185	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
38.888185	40.002743	Ab:maj(9)	8	8	1	0	0	1	0	0	0	0	1	0	1	0
40.002743	42.208639	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
42.208639	43.044557	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
43.044557	44.356485	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
44.356485	45.204013	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
45.204013	46.5856	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
46.5856	47.444739	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
47.444739	48.791496	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
48.791496	49.731904	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
49.731904	51.101882	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
51.101882	52.204829	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
52.204829	53.319387	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
53.319387	55.594943	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
55.594943	57.324829	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
57.324829	59.043106	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
59.043106	60.761383	F:min	5	5	1	0	0	0	0	1	0	0	1	0	0	0
60.761383	64.139886	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
64.139886	65.881383	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
65.881383	69.294716	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
69.294716	71.001383	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
71.001383	72.16238	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
72.16238	73.288548	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
73.288548	75.552494	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
75.552494	76.701882	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
76.701882	77.862879	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
77.862879	80.103605	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
80.103605	81.252993	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
81.252993	82.41399	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
82.41399	84.619886	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
84.619886	85.479024	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
85.479024	86.860612	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
86.860612	87.70814	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
87.70814	89.089727	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
89.089727	89.890816	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
89.890816	91.307233	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
91.307233	92.189591	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
92.189591	93.617619	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
93.617619	94.767006	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
94.767006	95.893174	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
95.893174	98.14551	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
98.14551	99.910226	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
99.910226	101.674943	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
101.674943	103.381609	F:min	5	5	1	0	0	0	0	1	0	0	1	0	0	0
103.381609	106.806553	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
106.806553	108.501609	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
108.501609	111.926553	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
111.926553	113.59839	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
113.59839	114.732486	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
114.732486	115.978435	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
115.978435	118.23077	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
118.23077	119.368548	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
119.368548	120.494716	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
120.494716	122.781882	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
122.781882	123.919659	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
