start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.4021	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.4021	8.435215	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
8.435215	9.886462	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
9.886462	12.452267	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
12.452267	13.961564	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
13.961564	16.504149	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
16.504149	20.544421	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
20.544421	21.612539	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
21.612539	22.622607	F#:7	6	6	0	1	0	0	1	0	1	0	0	0	1	0
22.622607	24.631133	B:7	11	11	0	0	0	1	0	0	1	0	0	1	0	1
24.631133	26.651269	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
26.651269	28.741065	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
28.741065	29.751133	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
29.751133	30.761201	F#:7	6	6	0	1	0	0	1	0	1	0	0	0	1	0
30.761201	32.804557	B:7	11	11	0	0	0	1	0	0	1	0	0	1	0	1
32.804557	34.847913	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
34.847913	36.902879	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
36.902879	38.447006	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
38.447006	41.001201	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
41.001201	42.533718	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
42.533718	45.076303	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
45.076303	49.163015	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
49.163015	50.184693	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
50.184693	51.229591	F#:7	6	6	0	1	0	0	1	0	1	0	0	0	1	0
51.229591	53.238117	B:7	11	11	0	0	0	1	0	0	1	0	0	1	0	1
53.238117	55.258253	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
55.258253	57.359659	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
57.359659	58.392947	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
58.392947	59.391405	B:7	11	11	0	0	0	1	0	0	1	0	0	1	0	1
59.391405	61.516031	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
61.516031	63.629047	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
63.629047	65.695623	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
65.695623	67.27458	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
67.27458	69.805555	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
69.805555	71.384512	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
71.384512	73.869047	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
73.869047	78.002199	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
78.002199	79.035487	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
79.035487	80.068775	F#:7	6	6	0	1	0	0	1	0	1	0	0	0	1	0
80.068775	82.065691	B:7	11	11	0	0	0	1	0	0	1	0	0	1	0	1
82.065691	84.120657	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
84.120657	86.210453	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
86.210453	87.255351	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
87.255351	88.288639	F#:7	6	6	0	1	0	0	1	0	1	0	0	0	1	0
88.288639	90.308775	B:7	11	11	0	0	0	1	0	0	1	0	0	1	0	1
90.308775	92.340521	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
92.340521	94.465147	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
94.465147	96.009274	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
96.009274	98.551859	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
98.551859	100.095986	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
100.095986	102.626961	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
102.626961	106.202834	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
106.202834	107.735351	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
107.735351	110.208276	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
110.208276	111.740793	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
111.740793	114.260158	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
114.260158	117.731541	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
117.731541	125.455149	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
125.455149	129.776327	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
