start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	2.067942	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
2.067942	2.955306	D:sus4/5	2	9	0	0	1	0	0	0	0	1	0	1	0	0
2.955306	3.733784	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
3.733784	5.83458	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
5.83458	6.809818	D:sus4/5	2	9	0	0	1	0	0	0	0	1	0	1	0	0
6.809818	7.494807	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
7.494807	9.689092	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
9.689092	10.641111	D:sus4/5	2	9	0	0	1	0	0	0	0	1	0	1	0	0
10.641111	11.430589	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
11.430589	13.531995	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
13.531995	14.507233	D:sus4/5	2	9	0	0	1	0	0	0	0	1	0	1	0	0
14.507233	15.319931	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
15.319931	22.158208	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
22.158208	25.025873	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
25.025873	32.514308	E:maj(b9)	4	4	0	0	0	0	1	1	0	0	1	0	0	1
32.514308	34.453174	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
34.453174	35.393582	D:sus4/5	2	9	0	0	1	0	0	0	0	1	0	1	0	0
35.393582	36.078571	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
36.078571	42.905238	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
42.905238	45.738072	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
45.738072	53.238117	E:maj(b9)	4	4	0	0	0	0	1	1	0	0	1	0	0	1
53.238117	55.130544	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
55.130544	56.036122	D:sus4/5	2	9	0	0	1	0	0	0	0	1	0	1	0	0
56.036122	56.9417	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
56.9417	58.822517	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
58.822517	60.656893	B:dim	11	11	0	0	1	0	0	1	0	0	0	0	0	1
60.656893	62.572539	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
