start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	12.350209	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12.350209	17.502607	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
17.502607	20.068412	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
20.068412	21.682199	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
21.682199	22.599387	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
22.599387	23.911315	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
23.911315	25.200022	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
25.200022	26.54678	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
26.54678	27.765827	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
27.765827	29.031315	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
29.031315	30.331632	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
30.331632	31.63195	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
31.63195	32.839387	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
32.839387	35.428412	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
35.428412	37.936167	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
37.936167	39.224875	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
39.224875	40.501972	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
40.501972	42.951678	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
42.951678	45.529092	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
45.529092	48.060068	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
48.060068	50.591043	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
50.591043	55.664603	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
55.664603	56.99975	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
56.99975	58.300068	Bb:maj6	10	10	0	0	1	0	0	1	0	1	0	0	1	0
58.300068	59.565555	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
59.565555	60.865873	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
60.865873	63.443287	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
63.443287	65.916213	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
65.916213	67.19331	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
67.19331	68.435578	Bb:maj6	10	10	0	0	1	0	0	1	0	1	0	0	1	0
68.435578	69.643015	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
69.643015	70.885283	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
70.885283	73.393038	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
73.393038	75.900793	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
75.900793	78.408548	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
78.408548	80.823424	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
80.823424	83.040929	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
83.040929	83.644648	C:sus4	0	0	1	0	0	0	0	1	0	1	0	0	0	0
83.644648	84.201927	C/9	0	2	1	0	1	0	1	0	0	1	0	0	0	0
84.201927	85.746054	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
85.746054	88.195759	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
88.195759	90.599024	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
90.599024	93.07195	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
93.07195	97.93653	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
97.93653	99.306507	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
99.306507	100.537165	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
100.537165	101.791043	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
101.791043	103.01009	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
103.01009	104.229138	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
104.229138	105.401746	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
105.401746	106.678843	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
106.678843	107.886281	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
107.886281	110.359206	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
110.359206	112.727641	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
112.727641	113.993129	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
113.993129	115.212176	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
115.212176	117.650272	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
117.650272	122.435918	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
