start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.440395	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.440395	4.638752	F:maj(9)/5	5	0	1	0	0	0	0	1	0	1	0	1	0	0
4.638752	6.693718	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
6.693718	8.771904	F:maj(9)/5	5	0	1	0	0	0	0	1	0	1	0	1	0	0
8.771904	12.094553	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
12.094553	12.836818	C/5	0	7	1	0	0	0	1	0	0	1	0	0	0	0
12.836818	16.177011	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
16.177011	16.853782	C/5	0	7	1	0	0	0	1	0	0	1	0	0	0	0
16.853782	18.163661	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
18.163661	18.862264	C/5	0	7	1	0	0	0	1	0	0	1	0	0	0	0
18.862264	20.193974	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
20.193974	20.870746	C/5	0	7	1	0	0	0	1	0	0	1	0	0	0	0
20.870746	24.210938	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
24.210938	24.840113	C/5	0	7	1	0	0	0	1	0	0	1	0	0	0	0
24.840113	26.837029	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
26.837029	28.810725	D:min7(4)/5	2	9	1	0	1	0	0	1	0	1	0	1	0	0
28.810725	30.819251	E:min7	4	4	0	0	1	0	1	0	0	1	0	0	0	1
30.819251	32.816167	F:maj(9)/6	5	2	1	0	1	0	0	1	0	1	0	1	0	0
32.816167	34.847913	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
34.847913	36.78678	D:min7(4)/5	2	9	1	0	1	0	0	1	0	1	0	1	0	0
36.78678	38.806916	E:min7	4	4	0	0	1	0	1	0	0	1	0	0	0	1
38.806916	40.792222	F:maj(9)	5	5	1	0	0	0	0	1	0	1	0	1	0	0
40.792222	44.099274	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
44.099274	44.776045	C/5	0	7	1	0	0	0	1	0	0	1	0	0	0	0
44.776045	46.042262	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
46.042262	46.740864	C/5	0	7	1	0	0	0	1	0	0	1	0	0	0	0
46.740864	48.050744	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
48.050744	48.662021	C/5	0	7	1	0	0	0	1	0	0	1	0	0	0	0
48.662021	49.9719	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
49.9719	50.648671	C/5	0	7	1	0	0	0	1	0	0	1	0	0	0	0
50.648671	51.936719	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
51.936719	52.61349	C/5	0	7	1	0	0	0	1	0	0	1	0	0	0	0
52.61349	53.836044	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
53.836044	54.556478	C/5	0	7	1	0	0	0	1	0	0	1	0	0	0	0
54.556478	55.822695	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
55.822695	56.499466	C/5	0	7	1	0	0	0	1	0	0	1	0	0	0	0
56.499466	57.809345	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
57.809345	58.486116	C/5	0	7	1	0	0	0	1	0	0	1	0	0	0	0
58.486116	59.752333	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
59.752333	60.424693	C/5	0	7	1	0	0	0	1	0	0	1	0	0	0	0
60.424693	62.39839	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
62.39839	64.383696	D:min7(4)/b7	2	0	1	0	1	0	0	1	0	1	0	1	0	0
64.383696	66.287732	E:min7	4	4	0	0	1	0	1	0	0	1	0	0	0	1
66.287732	68.226598	F:maj(9)/6	5	2	1	0	1	0	0	1	0	1	0	1	0	0
68.226598	70.316394	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
