start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.447551	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.447551	5.91585	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
5.91585	7.285827	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
7.285827	8.690634	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
8.690634	10.037392	A/3	9	1	0	1	0	0	1	0	0	0	0	1	0	0
10.037392	11.407369	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
11.407369	12.800566	C#:min/5	1	8	0	1	0	0	1	0	0	0	1	0	0	0
12.800566	14.216984	C#:min	1	1	0	1	0	0	1	0	0	0	1	0	0	0
14.216984	16.991768	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
16.991768	19.824603	A:maj/9	9	11	0	1	0	0	1	0	0	0	0	1	0	1
19.824603	22.599387	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
22.599387	25.350952	A:maj/9	9	11	0	1	0	0	1	0	0	0	0	1	0	1
25.350952	28.195396	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
28.195396	29.576984	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
29.576984	31.005011	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
31.005011	32.386598	F#:min	6	6	0	1	0	0	0	0	1	0	0	1	0	0
32.386598	33.826235	F#:min/5	6	1	0	1	0	0	0	0	1	0	0	1	0	0
33.826235	36.62938	C#:min/5	1	8	0	1	0	0	1	0	0	0	1	0	0	0
36.62938	39.561564	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
39.561564	42.371179	A:maj/9	9	11	0	1	0	0	1	0	0	0	0	1	0	1
42.371179	45.111133	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
45.111133	47.920748	A:maj/9	9	11	0	1	0	0	1	0	0	0	0	1	0	1
47.920748	50.753582	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
50.753582	64.778435	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
