start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.51721	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.51721	2.641836	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
2.641836	4.766462	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
4.766462	5.86941	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
5.86941	6.937528	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
6.937528	8.028866	C:min	0	0	1	0	0	1	0	0	0	1	0	0	0	0
8.028866	9.178253	G:aug	7	7	0	0	0	1	0	0	0	1	0	0	0	1
9.178253	10.257981	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
10.257981	11.337709	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
11.337709	13.543605	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
13.543605	15.703061	G:aug	7	7	0	0	0	1	0	0	0	1	0	0	0	1
15.703061	16.794399	C:min	0	0	1	0	0	1	0	0	0	1	0	0	0	0
16.794399	17.920566	G:aug	7	7	0	0	0	1	0	0	0	1	0	0	0	1
17.920566	18.965464	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
18.965464	20.068412	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
20.068412	22.239478	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
22.239478	23.342426	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
23.342426	24.410544	D:min7/b7	2	0	1	0	1	0	0	1	0	0	0	1	0	0
24.410544	25.443832	G:min/b3	7	10	0	0	1	0	0	0	0	1	0	0	1	0
25.443832	26.50034	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
26.50034	28.624965	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
28.624965	29.681473	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
29.681473	30.807641	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
30.807641	32.862607	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
32.862607	33.907505	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
33.907505	34.998843	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
34.998843	36.043741	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
36.043741	37.135079	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
37.135079	38.261247	C:min	0	0	1	0	0	1	0	0	0	1	0	0	0	0
38.261247	39.340975	G:aug	7	7	0	0	0	1	0	0	0	1	0	0	0	1
39.340975	40.420702	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
40.420702	41.47721	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
41.47721	43.601836	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
