start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.344657	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.344657	3.810375	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
3.810375	4.691165	Gb	6	6	0	1	0	0	0	0	1	0	0	0	1	0
4.691165	5.571955	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
5.571955	7.314387	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
7.314387	10.73399	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
10.73399	16.00492	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
16.00492	17.769637	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
17.769637	22.947687	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
22.947687	24.642743	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
24.642743	28.079297	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
28.079297	29.809183	Db:7	1	1	0	1	0	0	0	1	0	0	1	0	0	1
29.809183	31.49263	Gb	6	6	0	1	0	0	0	0	1	0	0	0	1	0
31.49263	32.374988	Gb	6	6	0	1	0	0	0	0	1	0	0	0	1	0
32.374988	33.245736	E:dim7/b3	4	7	0	1	0	0	1	0	0	1	0	0	1	0
33.245736	34.104875	Db/5	1	8	0	1	0	0	0	1	0	0	1	0	0	0
34.104875	34.905963	Bb:7	10	10	0	0	1	0	0	1	0	0	1	0	1	0
34.905963	35.765102	Eb:9	3	3	0	1	0	1	0	1	0	1	0	0	1	0
35.765102	36.61263	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
36.61263	38.400566	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
38.400566	41.75585	Bb:min	10	10	0	1	0	0	0	1	0	0	0	0	1	0
41.75585	43.427687	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
43.427687	45.134353	Bb:min	10	10	0	1	0	0	0	1	0	0	0	0	1	0
45.134353	48.512857	Bb:min	10	10	0	1	0	0	0	1	0	0	0	0	1	0
48.512857	51.96102	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
51.96102	55.362743	Bb:min	10	10	0	1	0	0	0	1	0	0	0	0	1	0
55.362743	58.718027	Eb:min	3	3	0	0	0	1	0	0	1	0	0	0	1	0
58.718027	60.436303	Gb	6	6	0	1	0	0	0	0	1	0	0	0	1	0
60.436303	62.09653	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
62.09653	63.814807	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
63.814807	67.2978	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
67.2978	72.37136	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
72.37136	74.066417	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
74.066417	79.209637	Ab:7	8	8	1	0	0	1	0	0	1	0	1	0	0	0
79.209637	80.881473	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
80.881473	84.213537	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
84.213537	85.955034	Db:7	1	1	0	1	0	0	0	1	0	0	1	0	0	1
85.955034	87.59204	Gb	6	6	0	1	0	0	0	0	1	0	0	0	1	0
87.59204	88.497619	Gb	6	6	0	1	0	0	0	0	1	0	0	0	1	0
88.497619	89.333537	E:dim7/b3	4	7	0	1	0	0	1	0	0	1	0	0	1	0
89.333537	90.181065	Db/5	1	8	0	1	0	0	0	1	0	0	1	0	0	0
90.181065	91.005374	Bb:7	10	10	0	0	1	0	0	1	0	0	1	0	1	0
91.005374	91.887732	Eb:9	3	3	0	1	0	1	0	1	0	1	0	0	1	0
91.887732	92.71204	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
92.71204	94.488367	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
94.488367	97.83204	Bb:min	10	10	0	1	0	0	0	1	0	0	0	0	1	0
97.83204	99.527097	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
99.527097	101.233764	Bb:min	10	10	0	1	0	0	0	1	0	0	0	0	1	0
101.233764	104.577437	Bb:min	10	10	0	1	0	0	0	1	0	0	0	0	1	0
104.577437	107.932721	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
107.932721	111.311224	Bb:min	10	10	0	1	0	0	0	1	0	0	0	0	1	0
111.311224	114.666507	Eb:min	3	3	0	0	0	1	0	0	1	0	0	0	1	0
114.666507	116.338344	Gb	6	6	0	1	0	0	0	0	1	0	0	0	1	0
116.338344	118.068231	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
118.068231	119.786507	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
119.786507	123.211451	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
123.211451	128.343061	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
128.343061	130.014897	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
130.014897	135.134897	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
135.134897	136.806734	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
136.806734	140.173628	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
140.173628	141.822244	Db:7	1	1	0	1	0	0	0	1	0	0	1	0	0	1
141.822244	143.505691	Gb	6	6	0	1	0	0	0	0	1	0	0	0	1	0
143.505691	144.364829	Gb	6	6	0	1	0	0	0	0	1	0	0	0	1	0
144.364829	145.212358	E:dim7/b3	4	7	0	1	0	0	1	0	0	1	0	0	1	0
145.212358	146.048276	Db/5	1	8	0	1	0	0	0	1	0	0	1	0	0	0
146.048276	146.872585	Bb:7	10	10	0	0	1	0	0	1	0	0	1	0	1	0
146.872585	147.743333	Eb:9	3	3	0	1	0	1	0	1	0	1	0	0	1	0
147.743333	148.567641	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
148.567641	150.343968	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
150.343968	153.757301	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
153.757301	154.604829	Gb	6	6	0	1	0	0	0	0	1	0	0	0	1	0
154.604829	155.429138	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
155.429138	155.82326	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
155.82326	156.321098	Ab	8	8	1	0	0	1	0	0	0	0	1	0	0	0
156.321098	156.799788	Db	1	1	0	1	0	0	0	1	0	0	1	0	0	0
156.799788	157.727347	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
