start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	1.914761	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
1.914761	3.36998	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
3.36998	6.519569	E:min7	4	4	0	0	1	0	1	0	0	1	0	0	0	1
6.519569	12.848047	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
12.848047	14.425963	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
14.425963	15.92365	B:min/5	11	6	0	0	1	0	0	0	1	0	0	0	0	1
15.92365	17.490997	E:min7	4	4	0	0	1	0	1	0	0	1	0	0	0	1
17.490997	18.988684	E:min7/b7	4	2	0	0	1	0	1	0	0	1	0	0	0	1
18.988684	20.556031	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
20.556031	22.123378	E:min/5	4	11	0	0	0	0	1	0	0	1	0	0	0	1
22.123378	25.223242	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
25.223242	26.744149	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
26.744149	28.369546	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
28.369546	29.925283	E:min7	4	4	0	0	1	0	1	0	0	1	0	0	0	1
29.925283	31.44619	E:min7/b7	4	2	0	0	1	0	1	0	0	1	0	0	0	1
31.44619	33.059977	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
33.059977	34.592494	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
34.592494	36.148231	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
36.148231	37.680748	E:min7/b7	4	2	0	0	1	0	1	0	0	1	0	0	0	1
37.680748	39.294535	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
39.294535	40.815442	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
40.815442	42.382789	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
42.382789	43.543786	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
43.543786	43.950136	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
43.950136	45.517482	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
45.517482	47.00356	B:min/5	11	6	0	0	1	0	0	0	1	0	0	0	0	1
