start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	1.110561	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.110561	2.584928	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
2.584928	4.020998	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
4.020998	9.787233	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
9.787233	12.724557	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
12.724557	14.140975	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
14.140975	15.592222	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
15.592222	18.483106	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
18.483106	19.911133	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
19.911133	21.330439	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
21.330439	24.218435	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
24.218435	25.669682	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
25.669682	27.109319	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
27.109319	29.965374	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
29.965374	31.439841	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
31.439841	32.879478	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
32.879478	34.307505	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
34.307505	35.781972	D/b7	2	0	1	0	1	0	0	0	1	0	0	1	0	0
35.781972	37.291269	G/3	7	11	0	0	1	0	0	0	0	1	0	0	0	1
37.291269	38.719297	G:min(9)/b3	7	10	0	0	1	0	0	0	0	1	0	1	1	0
38.719297	40.182154	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
40.182154	41.645011	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
41.645011	44.443015	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
44.443015	45.824603	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
45.824603	47.22941	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
47.22941	50.050634	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
50.050634	51.443832	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
51.443832	52.883469	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
52.883469	55.716303	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
55.716303	57.21399	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
57.21399	58.618798	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
58.618798	61.416802	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
61.416802	62.902879	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
62.902879	64.319297	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
64.319297	65.816984	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
65.816984	67.279841	D/b7	2	0	1	0	1	0	0	0	1	0	0	1	0	0
67.279841	68.765918	G/3	7	11	0	0	1	0	0	0	0	1	0	0	0	1
68.765918	70.228775	G:min(9)/b3	7	10	0	0	1	0	0	0	0	1	0	1	1	0
70.228775	71.680022	D/5	2	9	0	0	1	0	0	0	1	0	0	1	0	0
71.680022	73.084829	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
73.084829	75.894444	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
75.894444	78.773718	F#:min7	6	6	0	1	0	0	1	0	1	0	0	1	0	0
78.773718	81.641383	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
81.641383	83.963378	F#:min7	6	6	0	1	0	0	1	0	1	0	0	1	0	0
83.963378	84.474217	G#:(1)	8	8	0	0	0	0	0	0	0	0	1	0	0	0
