start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.612724	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.612724	4.80605	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
4.80605	6.820811	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
6.820811	8.903639	F:maj7	5	5	1	0	0	0	1	1	0	0	0	1	0	0
8.903639	10.937548	A/5	9	4	0	1	0	0	1	0	0	0	0	1	0	0
10.937548	12.851927	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
12.851927	14.848843	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
14.848843	15.824081	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
15.824081	16.810929	C/7	0	11	1	0	0	0	1	0	0	1	0	0	0	1
16.810929	18.783807	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
18.783807	20.769931	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
20.769931	22.778458	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
22.778458	24.845034	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
24.845034	26.946439	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
26.946439	28.978185	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
28.978185	31.056371	F:maj7	5	5	1	0	0	0	1	1	0	0	0	1	0	0
31.056371	33.111337	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
33.111337	35.177913	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
35.177913	37.244489	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
37.244489	38.219727	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
38.219727	39.218185	C/7	0	11	1	0	0	0	1	0	0	1	0	0	0	1
39.218185	41.319591	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
41.319591	43.339727	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
43.339727	45.371473	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
45.371473	47.449659	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
47.449659	50.572743	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
50.572743	52.650929	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
52.650929	54.740725	F:maj7	5	5	1	0	0	0	1	1	0	0	0	1	0	0
54.740725	56.749251	D:min/b3	2	5	0	0	1	0	0	1	0	0	0	1	0	0
56.749251	58.734557	G:9(*3)	7	7	0	0	1	0	0	1	0	1	0	1	0	0
