start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.459543	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.459543	4.733242	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
4.733242	6.149659	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
6.149659	7.577687	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
7.577687	8.959274	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
8.959274	10.387301	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
10.387301	13.301405	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
13.301405	16.02975	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
16.02975	18.920634	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
18.920634	21.788299	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
21.788299	23.216326	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
23.216326	24.644353	A/b7	9	7	0	1	0	0	1	0	0	1	0	1	0	0
24.644353	26.08399	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
26.08399	27.570068	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
27.570068	28.963265	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
28.963265	30.414512	A/b7	9	7	0	1	0	0	1	0	0	1	0	1	0	0
30.414512	33.317006	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
33.317006	36.173061	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
36.173061	39.029115	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
39.029115	40.422312	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
40.422312	41.86195	A/b7	9	7	0	1	0	0	1	0	0	1	0	1	0	0
41.86195	43.301587	F#:min7	6	6	0	1	0	0	1	0	1	0	0	1	0	0
43.301587	43.998185	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
43.998185	44.671564	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
44.671564	46.122811	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
46.122811	47.539229	A/b7	9	7	0	1	0	0	1	0	0	1	0	1	0	0
47.539229	50.348843	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
50.348843	55.933242	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
55.933242	58.777687	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
58.777687	61.598911	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
61.598911	64.373696	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
64.373696	65.790113	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
65.790113	67.22975	A/b7	9	7	0	1	0	0	1	0	0	1	0	1	0	0
67.22975	68.680997	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
68.680997	70.085804	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
70.085804	71.525442	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
71.525442	72.953469	A/b7	9	7	0	1	0	0	1	0	0	1	0	1	0	0
72.953469	75.774693	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
75.774693	78.630748	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
78.630748	81.451972	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
81.451972	87.094421	D:maj(11)	2	2	0	0	1	0	0	0	1	1	0	1	0	0
87.094421	89.915646	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
89.915646	92.74848	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
92.74848	95.569705	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
95.569705	97.020952	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
97.020952	98.414149	A/b7	9	7	0	1	0	0	1	0	0	1	0	1	0	0
98.414149	99.842176	F#:min7	6	6	0	1	0	0	1	0	1	0	0	1	0	0
99.842176	100.527165	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
100.527165	101.214273	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
101.214273	102.605351	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
102.605351	103.963718	A/b7	9	7	0	1	0	0	1	0	0	1	0	1	0	0
103.963718	106.796553	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
106.796553	112.276462	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
112.276462	115.097687	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
115.097687	117.860861	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
117.860861	120.612426	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
120.612426	123.57297	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
123.57297	124.826848	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
124.826848	126.243265	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
126.243265	127.636462	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
127.636462	128.983219	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
128.983219	131.850884	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
131.850884	133.232471	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
133.232471	134.660498	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
134.660498	136.007256	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
136.007256	137.377233	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
137.377233	138.80526	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
138.80526	140.186848	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
140.186848	145.678367	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
145.678367	148.441541	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
148.441541	151.111836	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
151.111836	153.828571	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
153.828571	156.533696	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
156.533696	157.950113	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
157.950113	159.35492	A/b7	9	7	0	1	0	0	1	0	0	1	0	1	0	0
159.35492	160.736507	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
160.736507	162.176145	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
162.176145	163.546122	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
163.546122	164.904489	A/b7	9	7	0	1	0	0	1	0	0	1	0	1	0	0
164.904489	167.725714	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
167.725714	170.465668	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
170.465668	173.240453	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
173.240453	174.70331	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
174.70331	176.015238	A/b7	9	7	0	1	0	0	1	0	0	1	0	1	0	0
176.015238	177.361995	F#:min7	6	6	0	1	0	0	1	0	1	0	0	1	0	0
177.361995	178.070204	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
178.070204	178.685532	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
178.685532	180.06712	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
180.06712	181.448707	A/b7	9	7	0	1	0	0	1	0	0	1	0	1	0	0
181.448707	184.165442	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
184.165442	189.552471	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
189.552471	192.327256	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
192.327256	195.0556	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
195.0556	197.749115	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
197.749115	200.38458	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
200.38458	203.101315	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
203.101315	205.73678	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
205.73678	208.407074	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
208.407074	211.088979	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
211.088979	213.759274	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
213.759274	216.441179	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
216.441179	219.088253	D:maj(9)	2	2	0	0	1	0	1	0	1	0	0	1	0	0
219.088253	221.793378	C:maj(#11)	0	0	1	0	0	0	1	0	1	1	0	0	0	0
221.793378	224.521723	G/3	7	11	0	0	1	0	0	0	0	1	0	0	0	1
224.521723	227.250068	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
227.250068	229.908752	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
229.908752	232.671927	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
232.671927	235.353832	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
