start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.41005	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.41005	1.797868	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
1.797868	3.086575	A:min/5	9	4	1	0	0	0	1	0	0	0	0	1	0	0
3.086575	4.537823	A:dim/b5	9	3	1	0	0	1	0	0	0	0	0	1	0	0
4.537823	5.222811	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
5.222811	5.9078	A:dim7/b3	9	0	1	0	0	1	0	0	1	0	0	1	0	0
5.9078	7.324217	G:min/5	7	2	0	0	1	0	0	0	0	1	0	0	1	0
7.324217	8.624535	F/5	5	0	1	0	0	0	0	1	0	0	0	1	0	0
8.624535	9.297913	Eb/5	3	10	0	0	0	1	0	0	0	1	0	0	1	0
9.297913	10.040952	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
10.040952	15.172562	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
15.172562	20.350612	F:min	5	5	1	0	0	0	0	1	0	0	1	0	0	0
20.350612	25.609931	G:7	7	7	0	0	1	0	0	1	0	1	0	0	0	1
25.609931	26.991519	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
26.991519	29.719863	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
29.719863	31.856099	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
31.856099	34.255076	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
34.255076	35.722222	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
35.722222	37.045759	F:maj7	5	5	1	0	0	0	1	1	0	0	0	1	0	0
37.045759	38.984625	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
38.984625	39.646394	F#:dim	6	6	1	0	0	0	0	0	1	0	0	1	0	0
39.646394	40.958321	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
40.958321	42.305079	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
42.305079	44.917324	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
44.917324	46.229251	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
