start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.440395	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.440395	1.689818	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
1.689818	2.209188	B/7	11	10	0	0	0	1	0	0	1	0	0	0	1	1
2.209188	2.746326	B/6	11	8	0	0	0	1	0	0	1	0	1	0	0	1
2.746326	3.280385	B/5	11	6	0	0	0	1	0	0	1	0	0	0	0	1
3.280385	3.849274	E:maj6	4	4	0	1	0	0	1	0	0	0	1	0	0	1
3.849274	4.406553	C#:min7	1	1	0	1	0	0	1	0	0	0	1	0	0	1
4.406553	4.940612	F#:sus4	6	6	0	1	0	0	0	0	1	0	0	0	0	1
4.940612	5.486281	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
5.486281	6.02034	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
6.02034	6.577619	B/7	11	10	0	0	0	1	0	0	1	0	0	0	1	1
6.577619	7.123287	B/6	11	8	0	0	0	1	0	0	1	0	1	0	0	1
7.123287	7.634126	B/5	11	6	0	0	0	1	0	0	1	0	0	0	0	1
7.634126	9.747142	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
9.747142	11.871768	G#:hdim7	8	8	0	0	1	0	0	0	1	0	1	0	0	1
11.871768	14.008004	G:maj7	7	7	0	0	1	0	0	0	1	1	0	0	0	1
14.008004	15.052902	F#:sus4	6	6	0	1	0	0	0	0	1	0	0	0	0	1
15.052902	16.12102	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
16.12102	17.189138	F#:sus4	6	6	0	1	0	0	0	0	1	0	0	0	0	1
17.189138	18.257256	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
18.257256	18.802925	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
18.802925	19.348594	B/7	11	10	0	0	0	1	0	0	1	0	0	0	1	1
19.348594	19.882653	B/6	11	8	0	0	0	1	0	0	1	0	1	0	0	1
19.882653	20.451541	B/5	11	6	0	0	0	1	0	0	1	0	0	0	0	1
20.451541	20.99721	E:maj6	4	4	0	1	0	0	1	0	0	0	1	0	0	1
20.99721	21.531269	C#:min7	1	1	0	1	0	0	1	0	0	0	1	0	0	1
21.531269	22.053718	F#:sus4	6	6	0	1	0	0	0	0	1	0	0	0	0	1
22.053718	22.610997	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
22.610997	23.133446	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
23.133446	23.655895	B/7	11	10	0	0	0	1	0	0	1	0	0	0	1	1
23.655895	24.155124	B/6	11	8	0	0	0	1	0	0	1	0	1	0	0	1
24.155124	24.689183	B/5	11	6	0	0	0	1	0	0	1	0	0	0	0	1
24.689183	26.837029	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
26.837029	28.891995	G#:hdim7	8	8	0	0	1	0	0	0	1	0	1	0	0	1
28.891995	31.005011	G:maj7	7	7	0	0	1	0	0	0	1	1	0	0	0	1
31.005011	32.038091	F#:sus4	6	6	0	1	0	0	0	0	1	0	0	0	0	1
32.038091	33.141247	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
33.141247	35.323922	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
35.323922	37.425328	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
37.425328	39.491904	A/3	9	1	0	1	0	0	1	0	0	0	0	1	0	0
39.491904	43.659886	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
43.659886	45.772902	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
45.772902	47.851088	A/3	9	1	0	1	0	0	1	0	0	0	0	1	0	0
47.851088	49.940884	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
49.940884	52.10034	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
52.10034	52.634399	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
52.634399	53.156848	B/7	11	10	0	0	0	1	0	0	1	0	0	0	1	1
53.156848	53.690907	B/6	11	8	0	0	0	1	0	0	1	0	1	0	0	1
53.690907	54.224965	B/5	11	6	0	0	0	1	0	0	1	0	0	0	0	1
54.224965	54.735804	E:maj6	4	4	0	1	0	0	1	0	0	0	1	0	0	1
54.735804	55.269863	C#:min7	1	1	0	1	0	0	1	0	0	0	1	0	0	1
55.269863	55.803922	F#:sus4	6	6	0	1	0	0	0	0	1	0	0	0	0	1
55.803922	56.326371	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
56.326371	56.84882	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
56.84882	57.371269	B/7	11	10	0	0	0	1	0	0	1	0	0	0	1	1
57.371269	57.928548	B/6	11	8	0	0	0	1	0	0	1	0	1	0	0	1
57.928548	58.427777	B/5	11	6	0	0	0	1	0	0	1	0	0	0	0	1
58.427777	60.587233	B:min	11	11	0	0	1	0	0	0	1	0	0	0	0	1
60.587233	62.665419	G#:hdim7	8	8	0	0	1	0	0	0	1	0	1	0	0	1
62.665419	64.801655	G:maj7	7	7	0	0	1	0	0	0	1	1	0	0	0	1
64.801655	65.834943	F#:sus4	6	6	0	1	0	0	0	0	1	0	0	0	0	1
65.834943	66.926281	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
66.926281	67.971179	F#:sus4	6	6	0	1	0	0	0	0	1	0	0	0	0	1
67.971179	69.039297	F#	6	6	0	1	0	0	0	0	1	0	0	0	1	0
69.039297	69.596575	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
69.596575	70.119024	B/7	11	10	0	0	0	1	0	0	1	0	0	0	1	1
70.119024	70.595034	B/6	11	8	0	0	0	1	0	0	1	0	1	0	0	1
70.595034	71.117482	B/5	11	6	0	0	0	1	0	0	1	0	0	0	0	1
71.117482	71.651541	E:maj6	4	4	0	1	0	0	1	0	0	0	1	0	0	1
