start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	10.109939	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10.109939	11.787486	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
11.787486	16.706689	E:7	4	4	0	0	1	0	1	0	0	0	1	0	0	1
16.706689	18.420002	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
18.420002	20.046184	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
20.046184	21.722199	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
21.722199	23.417256	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
23.417256	25.112312	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
25.112312	26.760929	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
26.760929	28.432766	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
28.432766	30.127823	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
30.127823	31.799659	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
31.799659	33.471496	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
33.471496	36.80356	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
36.80356	38.730816	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
38.730816	38.928185	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
38.928185	39.148775	D#	3	3	0	0	0	1	0	0	0	1	0	0	1	0
39.148775	40.135623	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
40.135623	41.86551	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
41.86551	43.514126	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
43.514126	45.220793	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
45.220793	46.90424	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
46.90424	48.622517	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
48.622517	50.282743	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
50.282743	52.00102	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
52.00102	53.696077	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
53.696077	55.367913	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
55.367913	57.07458	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
57.07458	62.891179	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
62.891179	65.00614	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
65.00614	65.369945	A/2	9	11	0	1	0	0	1	0	0	0	0	1	0	1
65.369945	65.81034	A/b3	9	0	1	1	0	0	1	0	0	0	0	1	0	0
65.81034	66.21244	A/3	9	1	0	1	0	0	1	0	0	0	0	1	0	0
66.21244	69.520476	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
69.520476	71.679931	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
71.679931	72.097891	A/2	9	11	0	1	0	0	1	0	0	0	0	1	0	1
72.097891	72.50424	A/b3	9	0	1	1	0	0	1	0	0	0	0	1	0	0
72.50424	72.922199	A/3	9	1	0	1	0	0	1	0	0	0	0	1	0	0
72.922199	73.781337	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
73.781337	74.582426	A/3	9	1	0	1	0	0	1	0	0	0	0	1	0	0
74.582426	75.418344	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
75.418344	76.300702	B	11	11	0	0	0	1	0	0	1	0	0	0	0	1
76.300702	77.949319	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
77.949319	79.690816	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
79.690816	81.607119	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
81.607119	81.817743	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
