start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	1.397776	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.397776	3.443356	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
3.443356	5.417052	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
5.417052	7.448798	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
7.448798	9.457324	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
9.457324	11.41941	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
11.41941	13.485986	G:min7	7	7	0	0	1	0	0	1	0	1	0	0	1	0
13.485986	15.506122	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
15.506122	17.537868	G:min7	7	7	0	0	1	0	0	1	0	1	0	0	1	0
17.537868	19.279365	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
19.279365	21.241451	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
21.241451	23.215147	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
23.215147	25.165623	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
25.165623	27.174149	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
27.174149	29.353288	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
29.353288	31.344639	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
31.344639	33.315827	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
33.315827	35.359183	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
35.359183	37.344489	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
37.344489	39.348341	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
39.348341	41.326712	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
41.326712	43.335238	G:min7	7	7	0	0	1	0	0	1	0	1	0	0	1	0
43.335238	45.355374	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
45.355374	47.41034	G:min7	7	7	0	0	1	0	0	1	0	1	0	0	1	0
47.41034	49.151836	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
49.151836	51.124122	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
51.124122	53.099229	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
53.099229	55.06853	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
55.06853	57.093061	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
57.093061	59.252517	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
59.252517	61.226213	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
61.226213	65.185215	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
65.185215	69.097777	F/3	5	9	1	0	0	0	0	1	0	0	0	1	0	0
69.097777	72.99873	F#:dim/b3	6	9	1	0	0	0	0	0	1	0	0	1	0	0
72.99873	76.888072	A:min7	9	9	1	0	0	0	1	0	0	1	0	1	0	0
76.888072	78.861768	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
78.861768	79.788096	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
79.788096	80.847074	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80.847074	82.813418	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
82.813418	84.840907	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
84.840907	86.815269	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
86.815269	88.823129	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
88.823129	90.831655	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
90.831655	92.851791	G:min7	7	7	0	0	1	0	0	1	0	1	0	0	1	0
92.851791	94.838118	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
94.838118	96.880453	G:min7	7	7	0	0	1	0	0	1	0	1	0	0	1	0
96.880453	98.55229	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
98.55229	100.524959	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
100.524959	102.488072	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
102.488072	104.473378	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
104.473378	106.384128	D:7	2	2	1	0	1	0	0	0	1	0	0	1	0	0
106.384128	108.547808	F:7	5	5	1	0	0	1	0	1	0	0	0	1	0	0
108.547808	109.126498	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
109.126498	112.588752	F:7(b9)	5	5	1	0	0	1	0	1	1	0	0	1	0	0
112.588752	113.320181	B:dim7/b9	11	0	1	0	1	0	0	1	0	0	1	0	0	1
113.320181	114.04	Bb:dim7/5	10	5	0	1	0	0	1	1	0	1	0	0	1	0
114.04	114.864308	C:dim7	0	0	1	0	0	1	0	0	1	0	0	1	0	0
114.864308	118.77687	C:dim7/2	0	2	1	0	1	1	0	0	1	0	0	1	0	0
118.77687	119.589569	Bb:dim7/7	10	9	0	1	0	0	1	0	0	1	0	1	1	0
119.589569	120.437097	D:dim7	2	2	0	0	1	0	0	1	0	0	1	0	0	1
120.437097	121.470385	A:dim7	9	9	1	0	0	1	0	0	1	0	0	1	0	0
121.470385	125.719637	F:7(b9)	5	5	1	0	0	1	0	1	1	0	0	1	0	0
125.719637	126.729705	B:dim7/b9	11	0	1	0	1	0	0	1	0	0	1	0	0	1
126.729705	127.762993	Bb:dim7/5	10	5	0	1	0	0	1	1	0	1	0	0	1	0
127.762993	128.819501	C:dim7	0	0	1	0	0	1	0	0	1	0	0	1	0	0
128.819501	133.730521	C:dim7/2	0	2	1	0	1	1	0	0	1	0	0	1	0	0
133.730521	134.752199	B:dim7/b9	11	0	1	0	1	0	0	1	0	0	1	0	0	1
134.752199	135.878367	Bb:dim7/5	10	5	0	1	0	0	1	1	0	1	0	0	1	0
135.878367	137.978776	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
