start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.06	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.06	2.282828	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
2.282828	4.303764	A:min/b7	9	7	1	0	0	0	1	0	0	1	0	1	0	0
4.303764	6.451609	A:min/6	9	6	1	0	0	0	1	0	1	0	0	1	0	0
6.451609	8.541405	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
8.541405	10.689251	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
10.689251	12.767437	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
12.767437	14.868843	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
14.868843	16.993469	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
16.993469	19.129705	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
19.129705	21.242721	A:min/b7	9	7	1	0	0	0	1	0	0	1	0	1	0	0
21.242721	23.320907	A:min/6	9	6	1	0	0	0	1	0	1	0	0	1	0	0
23.320907	25.477155	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
25.477155	27.616625	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
27.616625	29.729614	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
29.729614	31.91229	D	2	2	0	0	1	0	0	0	1	0	0	1	0	0
31.91229	34.025306	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
34.025306	36.126712	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
36.126712	38.193287	A:min/b7	9	7	1	0	0	0	1	0	0	1	0	1	0	0
38.193287	40.225034	A:min/6	9	6	1	0	0	0	1	0	1	0	0	1	0	0
40.225034	42.309106	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
42.309106	44.448575	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
44.448575	46.529251	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
46.529251	48.640189	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
48.640189	50.732063	E	4	4	0	0	0	0	1	0	0	0	1	0	0	1
