start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.210624	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.210624	0.708462	E:(1)	4	4	0	0	0	0	1	0	0	0	0	0	0	0
0.708462	2.490907	A:min7	9	9	1	0	0	0	1	0	0	1	0	1	0	0
2.490907	4.185963	A:min6	9	9	1	0	0	0	1	0	1	0	0	1	0	0
4.185963	5.89263	E:min(9)	4	4	0	0	0	0	1	0	1	1	0	0	0	1
5.89263	7.610907	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
7.610907	9.282743	A:min7	9	9	1	0	0	0	1	0	0	1	0	1	0	0
9.282743	10.9778	A:min6	9	9	1	0	0	0	1	0	1	0	0	1	0	0
10.9778	12.638027	E:min(9)	4	4	0	0	0	0	1	0	1	1	0	0	0	1
12.638027	14.356303	E:min	4	4	0	0	0	0	1	0	0	1	0	0	0	1
14.356303	19.580793	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
19.580793	23.017346	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
23.017346	26.4539	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
26.4539	29.925283	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
29.925283	33.454716	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
33.454716	36.868049	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
36.868049	41.175351	D:min	2	2	0	0	1	0	0	1	0	0	0	1	0	0
41.175351	44.693174	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
44.693174	53.783786	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
53.783786	56.372811	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
56.372811	58.961836	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
58.961836	67.994399	A:7	9	9	0	1	0	0	1	0	0	1	0	1	0	0
67.994399	70.641473	C:7	0	0	1	0	0	0	1	0	0	1	0	0	1	0
70.641473	73.18217	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
73.18217	74.403106	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
74.403106	76.667052	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
76.667052	77.804829	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
77.804829	80.428684	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
80.428684	81.566462	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
81.566462	83.828242	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
83.828242	84.886916	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
84.886916	87.487551	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
87.487551	88.613718	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
88.613718	90.877664	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
90.877664	91.957392	A	9	9	0	1	0	0	1	0	0	0	0	1	0	0
91.957392	94.511587	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
94.511587	96.195034	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
96.195034	97.77399	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
97.77399	99.352947	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
99.352947	100.908684	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
100.908684	102.557301	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
102.557301	104.182698	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
104.182698	105.831315	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
105.831315	107.479931	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
107.479931	108.720136	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
108.720136	110.022517	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
110.022517	111.195124	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
111.195124	112.495442	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
112.495442	113.679659	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
113.679659	114.887097	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
114.887097	116.106145	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
116.106145	117.301972	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
117.301972	118.56746	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
118.56746	119.751678	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
119.751678	121.005555	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
121.005555	122.236213	G	7	7	0	0	1	0	0	0	0	1	0	0	0	1
122.236213	123.908049	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
123.908049	125.637936	A:min	9	9	1	0	0	0	1	0	0	0	0	1	0	0
125.637936	127.309773	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
