start	end	label	root	bass	C	Db	D	Eb	E	F	Gb	G	Ab	A	Bb	B
0.0	0.344657	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.344657	2.977006	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
2.977006	3.615555	G:min/5	7	2	0	0	1	0	0	0	0	1	0	0	1	0
3.615555	4.265714	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
4.265714	4.915873	G:min/b7	7	5	0	0	1	0	0	1	0	1	0	0	1	0
4.915873	5.554421	C/3	0	4	1	0	0	0	1	0	0	1	0	0	0	0
5.554421	6.23941	C:7/3	0	4	1	0	0	0	1	0	0	1	0	0	1	0
6.23941	8.944535	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
8.944535	10.256462	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
10.256462	11.54517	Ab:maj9	8	8	1	0	0	1	0	0	0	1	1	0	1	0
11.54517	12.949977	Bb:7	10	10	0	0	1	0	0	1	0	0	1	0	1	0
12.949977	14.145804	Ab:maj7	8	8	1	0	0	1	0	0	0	1	1	0	0	0
14.145804	15.480952	Bb:7	10	10	0	0	1	0	0	1	0	0	1	0	1	0
15.480952	16.734829	Ab:maj7	8	8	1	0	0	1	0	0	0	1	1	0	0	0
16.734829	19.416734	Bb:7	10	10	0	0	1	0	0	1	0	0	1	0	1	0
19.416734	22.063809	Eb	3	3	0	0	0	1	0	0	0	1	0	0	1	0
22.063809	22.690748	G:min/5	7	2	0	0	1	0	0	0	0	1	0	0	1	0
22.690748	23.317687	G:min	7	7	0	0	1	0	0	0	0	1	0	0	1	0
23.317687	23.944625	G:min/b7	7	5	0	0	1	0	0	1	0	1	0	0	1	0
23.944625	24.606394	C/3	0	4	1	0	0	0	1	0	0	1	0	0	0	0
24.606394	25.268163	C:7/3	0	4	1	0	0	0	1	0	0	1	0	0	1	0
25.268163	27.938458	F	5	5	1	0	0	0	0	1	0	0	0	1	0	0
27.938458	29.296825	Bb	10	10	0	0	1	0	0	1	0	0	0	0	1	0
29.296825	30.608752	Ab:maj9	8	8	1	0	0	1	0	0	0	1	1	0	1	0
30.608752	31.93229	Bb:7	10	10	0	0	1	0	0	1	0	0	1	0	1	0
31.93229	33.197777	Ab:maj7	8	8	1	0	0	1	0	0	0	1	1	0	0	0
33.197777	34.509705	Bb:7	10	10	0	0	1	0	0	1	0	0	1	0	1	0
34.509705	35.728752	Ab:maj7	8	8	1	0	0	1	0	0	0	1	1	0	0	0
35.728752	38.387437	Bb:7	10	10	0	0	1	0	0	1	0	0	1	0	1	0
38.387437	41.080952	D:min7	2	2	1	0	1	0	0	1	0	0	0	1	0	0
41.080952	43.797687	G:min7	7	7	0	0	1	0	0	1	0	1	0	0	1	0
43.797687	49.231156	F:maj6	5	5	1	0	1	0	0	1	0	0	0	1	0	0
49.231156	50.577913	G:min/4	7	0	1	0	1	0	0	0	0	1	0	0	1	0
50.577913	51.924671	C	0	0	1	0	0	0	1	0	0	1	0	0	0	0
